Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
2.08,0.79,0.98,17.81,-28.69,-242.0
-0.13,0.07,0.37,21.37,-32.56,-243.44
-4.86,-0.11,-0.89,21.37,-32.56,-243.44
-6.68,-0.51,-0.92,23.69,-34.25,-237.75
-8.18,-0.99,-0.68,25.62,-27.12,-226.31
-11.27,-1.42,-0.17,23.62,-13.69,-212.31
-13.07,-1.55,-0.01,17.81,-4.0,-194.5
-14.61,-1.57,0.01,10.75,1.69,-172.0
-16.27,-1.62,0.06,5.25,8.81,-142.5
-19.19,-1.27,-0.28,0.75,18.75,-108.81
-19.84,-1.11,-0.59,-1.37,28.25,-68.94
-19.62,-1.17,-1.41,-0.94,36.81,-23.0
-18.69,-1.23,-2.36,-5.12,44.75,26.0
-17.55,-1.27,-3.19,-14.69,44.06,75.69
-17.14,-1.0,-3.4,-25.62,33.44,120.5
-16.02,-0.74,-3.26,-35.56,14.13,163.12
-14.37,-0.88,-2.93,-43.69,-11.13,202.37
-10.76,-0.93,-2.02,-49.13,-41.69,230.5
-8.1,-0.96,-1.62,-47.25,-69.62,256.62
-3.81,-0.98,0.14,-39.31,-73.44,284.0
2.13,-1.89,0.82,-20.87,-51.88,290.56
5.69,-3.54,4.0,-10.19,1.5,291.56
10.23,-4.91,7.59,-16.94,70.0,299.56
14.82,-6.09,10.22,-6.81,89.81,275.81
27.4,-14.17,7.91,30.06,68.25,222.25
28.67,-15.84,4.81,56.06,42.81,167.19
28.12,-15.38,1.97,37.69,40.88,93.56
25.87,-11.28,0.51,-10.63,69.06,-1.5
16.09,0.52,0.08,-51.81,87.25,-83.56
13.46,3.12,0.88,-61.13,65.69,-129.37
11.12,4.04,1.89,-45.25,36.19,-159.56
6.48,4.33,3.01,-21.12,23.12,-191.19
3.67,3.95,2.62,3.69,13.63,-205.87
1.56,3.47,1.86,20.06,2.19,-204.37
-0.09,2.69,1.24,32.94,-3.94,-199.5
-3.31,0.76,0.05,43.63,-9.88,-193.0
-5.22,0.04,-0.35,50.69,-21.06,-187.19
-7.3,-0.13,-0.62,48.0,-35.44,-187.25
-9.79,-0.16,-0.7,38.0,-45.63,-184.81
-14.14,0.18,-0.86,29.44,-49.31,-169.81
-15.68,0.0,-0.68,25.75,-42.56,-139.69
-16.79,-0.23,-0.78,22.56,-29.19,-106.0
