Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
3.46,2.6,-8.13,13.75,49.44,-32.75
4.65,2.32,-8.43,45.88,49.38,-26.19
4.38,1.91,-8.65,42.69,37.63,-1.12
5.4,1.31,-8.08,32.25,63.44,5.94
6.75,0.77,-9.05,-15.44,16.06,6.87
6.89,0.72,-6.67,-19.81,19.25,4.75
6.48,1.47,-7.6,-3.12,-4.5,-2.62
6.44,0.68,-7.91,4.19,27.44,-2.56
8.59,-0.06,-3.94,31.75,150.25,-15.13
8.48,0.89,-4.09,67.25,25.06,15.81
9.15,-0.02,-3.3,29.75,9.88,107.87
4.48,-1.77,-7.51,-44.38,-53.13,124.19
9.15,-1.11,-3.31,-104.5,-13.38,54.38
6.74,-2.91,-0.74,4.87,91.5,11.31
6.19,-2.83,-3.4,67.19,48.31,24.31
8.46,-5.27,-1.56,-8.75,-66.75,3.75
6.2,-5.0,-2.08,15.06,-15.19,5.19
7.53,-3.94,-1.84,0.62,9.88,3.44
7.05,-4.06,-1.95,-3.62,6.69,-0.81
7.22,-3.94,-2.01,-3.37,8.25,0.13
7.11,-3.9,-1.9,1.44,6.0,-0.5
7.12,-4.04,-1.83,1.81,2.69,0.5
7.27,-4.04,-1.66,1.81,5.31,1.19
7.02,-4.09,-1.75,3.12,1.0,-1.19
7.22,-4.09,-1.58,-0.19,2.12,2.81
7.09,-4.03,-1.69,-0.13,0.62,-0.44
7.17,-4.08,-1.61,0.75,0.19,0.0
7.12,-4.08,-1.57,0.5,-0.31,-0.19
7.16,-4.07,-1.53,-0.13,0.81,-0.62
7.08,-4.13,-1.56,-2.75,1.62,1.12
8.39,-4.7,-1.85,-0.94,2.0,-1.87
8.36,-4.69,-1.78,-1.5,0.75,-0.62
8.39,-4.73,-1.81,-1.81,-0.19,-0.62
8.64,-4.92,-1.62,-2.62,-3.37,-0.19
11.12,-6.39,0.51,9.94,-47.0,-16.81
10.65,-4.98,-3.69,49.81,-99.69,-57.56
10.25,-2.33,-5.35,59.44,79.37,-129.37
9.65,1.64,-6.21,-40.88,36.94,-200.94
12.36,6.43,-3.46,-43.69,106.31,-170.37
11.13,0.81,3.13,-8.94,-26.19,-88.31
6.74,-0.17,1.55,-12.0,-47.13,-27.19
7.04,3.26,-1.12,11.38,-20.87,2.31
7.0,4.07,-1.91,-11.13,-22.44,20.56
3.09,1.51,-1.29,-32.94,25.94,89.81
17.31,2.03,-0.91,-25.06,25.06,146.75
20.0,4.15,-2.2,0.31,-4.75,-43.31
10.12,2.13,-1.12,2.75,-45.5,-130.94
1.2,1.86,-0.59,-3.81,-9.88,-55.75
3.2,2.59,-2.02,-28.12,-30.87,81.5
16.81,3.57,-3.49,5.0,9.13,130.31
19.42,3.89,-4.04,1.0,-15.81,-47.06
9.41,2.34,-2.43,-2.75,-36.13,-133.94
0.64,2.97,-1.04,-9.81,-9.63,-37.13
4.24,2.47,-1.3,-1.81,21.25,103.25
16.85,3.49,-3.59,18.87,24.81,122.37
18.55,3.35,-4.48,-0.31,1.25,-39.25
10.6,2.65,-2.74,-13.81,-27.56,-110.31
5.32,3.2,-1.57,-16.31,-15.63,-75.94
6.46,4.61,-1.73,-1.81,2.19,-14.13
8.93,5.18,-3.03,10.69,-7.56,10.94
9.83,5.35,-3.47,1.06,6.0,7.5
9.44,5.39,-3.27,-0.75,1.12,-1.75
9.0,5.19,-3.01,-2.31,-1.75,-1.94
8.98,5.19,-2.92,-1.06,0.94,0.75
9.23,5.34,-2.9,-0.94,4.62,1.5
9.37,5.32,-3.09,0.69,1.19,-0.44
9.08,5.3,-3.03,0.56,-1.31,-2.56
9.11,5.18,-2.96,0.37,0.5,-1.06
6.52,3.71,-2.64,0.0,2.25,6.0
4.33,2.94,-1.69,-2.5,16.81,75.5
15.46,3.3,-3.7,0.75,4.69,124.06
18.73,3.43,-3.79,-8.94,4.81,-41.31
10.25,2.69,-2.37,-4.31,-24.75,-133.81
2.45,3.13,-1.6,-8.31,2.69,-72.37
1.2,2.64,-0.99,-0.75,7.56,97.12
18.02,3.2,-3.99,28.87,-10.25,127.87
18.07,4.75,-6.1,-9.06,-22.75,-45.06
9.16,2.55,-3.96,-23.69,-45.44,-122.62
1.33,2.16,-1.32,-15.25,5.31,-64.5
2.52,3.62,-1.75,7.69,21.31,115.44
17.02,3.85,-5.15,31.94,9.75,117.37
17.7,5.1,-6.51,-9.63,-0.44,-36.63
9.07,2.77,-4.2,-24.44,-40.88,-109.75
4.91,3.66,-2.82,-21.62,0.69,-71.19
5.7,5.52,-3.09,1.56,-7.69,-3.0
7.51,5.48,-4.48,6.19,-32.13,17.81
7.36,5.46,-4.22,-1.81,24.44,33.0
10.52,5.05,-4.84,4.19,-6.81,34.5
10.23,5.78,-6.74,-4.87,-65.19,-9.06
7.24,4.97,-4.91,-10.69,-85.44,-26.06
3.23,3.54,-3.12,11.63,-45.94,11.56
5.04,3.88,-6.35,33.13,40.81,93.19
14.33,3.69,-9.18,51.19,50.75,65.69
14.44,3.74,-8.64,-27.06,34.0,-76.56
7.08,2.87,-4.78,-42.0,-33.0,-135.56
0.04,3.97,-2.14,-5.87,-24.06,-29.19
5.04,3.52,-4.12,46.69,77.31,127.0
15.37,3.74,-7.6,35.13,40.75,102.25
16.49,4.23,-6.42,-10.88,77.19,-50.94
9.31,2.93,-3.53,-13.19,-5.69,-116.12
