Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.4,-0.89,0.82,12.44,7.0,-209.19
-1.83,-1.95,1.07,18.06,-9.69,-212.0
-4.15,-2.57,1.21,22.62,-27.56,-207.62
-8.48,-2.26,0.97,24.37,-39.63,-196.37
-10.57,-1.95,0.77,20.87,-43.81,-178.75
-12.66,-1.83,0.93,14.88,-48.44,-156.06
-13.92,-1.57,1.24,5.87,-53.44,-126.87
-14.69,-0.23,1.2,3.94,-39.75,-90.44
-13.98,-0.66,1.58,3.75,-19.19,-52.63
-13.19,-1.13,1.33,0.44,-15.94,-8.75
-12.57,-0.91,0.61,1.81,-31.56,39.5
-12.58,-0.22,-1.19,10.88,-37.81,84.5
-12.71,-0.07,-2.09,19.5,-2.62,123.37
-13.09,0.12,-2.7,23.0,85.69,162.81
-12.01,-0.82,-3.0,4.06,202.25,204.69
-2.86,-1.24,-0.5,-41.69,280.44,214.81
1.47,0.72,1.86,-51.88,255.19,222.44
4.07,1.66,2.73,-38.31,166.25,243.25
5.99,-1.36,4.0,-28.06,85.69,246.19
8.15,-3.37,4.46,-21.19,32.44,224.56
10.0,-5.0,4.01,-18.94,-2.56,189.25
11.47,-6.36,2.81,-19.56,-33.0,156.19
16.0,-7.4,2.47,-21.87,-51.69,128.25
16.4,-6.17,2.71,-23.0,-65.87,69.0
15.05,-5.14,1.89,-21.19,-63.81,-1.56
13.21,-3.68,0.75,-26.62,-10.81,-65.19
11.62,0.72,1.25,-31.19,57.06,-111.94
11.28,3.24,1.91,-24.62,84.31,-150.94
9.13,2.13,2.54,-8.19,71.44,-174.12
4.81,1.81,3.07,2.31,52.13,-190.56
2.29,0.97,2.93,13.5,27.81,-204.37
-0.01,-0.08,2.73,25.0,7.19,-209.75
-2.42,-1.06,2.49,33.69,-10.38,-210.19
-7.16,-1.82,1.06,38.56,-33.5,-202.75
-9.34,-1.33,0.44,39.5,-58.94,-185.37
-11.75,-0.53,-0.12,36.81,-74.87,-163.06
-13.6,0.38,-0.1,31.56,-77.37,-135.19
-14.02,1.19,0.89,24.19,-63.94,-95.62
-13.22,0.35,1.52,11.75,-42.75,-54.13
-11.72,-0.82,1.78,-4.5,-57.44,-14.69
-11.39,-0.33,1.25,-0.13,-112.5,35.38
-14.37,0.91,-0.78,19.0,-159.44,89.37
-16.04,0.55,-2.08,32.19,-143.69,137.87
-14.23,-1.27,-2.03,18.94,-81.31,171.44
-6.19,-0.38,0.0,0.69,-23.25,196.44
-3.06,0.55,0.22,-1.62,8.75,227.56
0.07,0.51,-0.23,3.81,17.31,239.75
2.66,-0.58,-0.66,5.19,24.0,230.69
2.66,-0.58,-0.66,0.56,32.13,219.56
9.59,-4.36,0.08,-6.06,30.25,203.56
11.42,-4.7,0.78,-13.44,20.81,168.25
13.35,-5.03,1.3,-14.19,-2.62,124.12
17.16,-7.13,1.11,-14.44,-12.13,83.5
17.91,-5.9,0.62,-24.81,16.75,23.69
18.13,-3.32,0.44,-36.25,59.0,-46.44
14.25,1.52,0.7,-35.88,67.5,-106.94
11.73,2.57,0.58,-23.69,44.13,-149.69
10.5,3.65,0.55,-13.44,22.69,-181.0
10.5,3.65,0.55,-5.5,10.0,-205.75
8.08,3.05,0.72,-0.94,4.31,-220.12
4.28,1.7,0.64,4.69,-9.06,-233.19
1.71,-0.01,0.41,10.44,-22.0,-236.06
-0.72,-1.55,0.43,12.44,-31.31,-231.94
-3.42,-2.52,0.74,16.44,-45.38,-219.06
-9.74,-2.06,0.81,21.31,-56.13,-195.12
-11.79,-1.4,0.41,17.94,-41.63,-167.06
-13.44,-0.76,0.27,6.69,-12.88,-130.0
-14.85,0.0,0.55,-5.44,12.0,-83.62
-13.56,0.64,0.92,-5.87,27.0,-48.88
-13.05,-0.17,1.19,-0.13,10.13,-8.5
-12.82,-1.31,0.83,10.81,-29.25,45.25
-16.0,-1.1,-1.32,17.19,-50.38,102.5
-17.02,-0.81,-1.97,17.25,-29.12,146.81
-16.26,-0.9,-2.01,17.25,-29.12,146.81
-14.21,-0.96,-1.32,2.31,76.19,215.62
-7.36,-2.56,1.05,-22.12,100.19,243.87
-3.11,-2.27,1.63,-29.87,92.12,255.94
0.07,-1.85,2.37,-28.62,65.31,264.31
3.12,-2.62,2.96,-28.62,65.31,264.31
7.34,-4.82,2.45,-15.44,1.31,237.06
9.13,-5.27,2.36,-8.69,-18.06,208.0
11.19,-5.64,1.98,-5.81,-28.19,172.75
16.66,-7.56,2.19,-3.94,-41.69,110.19
16.55,-6.17,2.55,6.69,-55.75,38.63
15.33,-6.15,1.97,0.0,-20.0,-8.31
14.44,-5.17,0.98,-15.81,46.31,-62.69
13.5,0.83,1.05,-16.19,81.0,-110.69
12.46,2.36,1.35,-5.37,79.87,-144.19
11.13,4.27,1.53,-5.37,79.87,-144.19
10.1,2.77,1.61,4.94,71.62,-157.12
6.67,2.56,1.57,23.87,54.5,-207.69
4.01,0.63,1.82,35.38,36.69,-215.75
1.25,-0.95,1.58,42.5,26.31,-218.0
-1.19,-2.04,0.96,42.5,26.31,-218.0
-6.22,-2.64,0.35,45.25,21.31,-214.69
-8.57,-2.37,-0.32,42.31,3.19,-182.12
-10.73,-1.64,-0.93,33.94,4.0,-152.69
-14.2,1.05,-0.51,21.56,13.0,-114.56
-14.19,2.0,-0.12,21.56,13.0,-114.56
-13.65,1.82,0.15,10.0,25.37,-74.31
-12.14,0.73,0.08,-7.56,-40.81,22.06
