Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-12.42,-2.66,0.33,49.94,-82.31,-175.5
-17.97,-2.05,1.04,42.31,-85.37,-148.25
-18.19,-1.69,1.54,29.5,-66.25,-113.69
-16.49,-1.63,1.9,23.37,-36.06,-68.81
-13.48,-1.57,2.75,16.25,-18.69,-22.37
-12.24,-1.88,1.13,12.38,-52.13,31.06
-15.6,-2.27,-1.32,21.37,-116.12,90.12
-18.62,-1.76,-3.44,28.62,-144.0,145.94
-16.12,-1.35,-3.91,30.31,-94.31,194.19
-11.07,-1.95,-2.03,25.87,12.81,224.81
-4.39,-3.48,0.26,14.13,123.5,248.25
2.85,-5.01,2.45,-15.25,207.87,275.31
12.69,-5.88,4.02,-41.0,257.62,278.69
13.81,-5.28,2.73,-53.88,254.44,249.37
15.24,-5.42,5.39,-55.44,193.0,208.37
16.27,-7.79,5.92,-30.44,100.62,154.0
20.26,-8.76,2.97,-28.31,25.12,93.69
20.89,-1.81,4.01,-42.75,-6.69,12.25
18.9,2.21,4.35,-39.56,-30.56,-69.12
15.94,4.5,3.46,-26.44,-45.44,-112.12
12.11,5.99,1.89,-17.69,-35.31,-155.19
10.64,5.71,1.83,-5.12,-16.5,-184.19
9.06,5.66,1.63,11.0,-4.94,-202.62
2.6,2.39,0.9,26.5,1.0,-215.62
0.14,1.18,0.61,41.31,1.37,-214.37
-2.24,-0.08,0.24,52.19,-15.56,-224.31
-5.55,-1.17,0.04,64.69,-51.69,-218.25
-11.9,-1.42,-0.56,70.75,-95.44,-205.0
-14.47,-0.74,0.5,68.94,-125.62,-182.62
-16.41,-0.13,1.23,57.69,-124.5,-154.06
-17.23,-0.75,2.39,44.06,-98.81,-116.31
-12.82,-2.31,3.58,33.81,-71.06,-67.12
-10.95,-2.28,2.86,24.75,-72.31,-23.0
-12.67,-2.35,1.3,22.44,-118.19,30.12
-16.06,-2.29,-0.92,31.0,-173.12,89.44
-19.8,-1.77,-3.53,37.81,-170.75,141.5
-17.58,-1.85,-2.92,38.81,-100.81,181.94
-14.03,-2.06,-1.8,32.88,4.87,210.62
-3.52,-3.13,2.13,22.0,98.5,239.37
3.81,-4.24,2.85,5.81,151.87,270.62
9.19,-4.42,4.16,-17.69,175.44,294.31
11.48,-3.35,3.09,-25.19,168.81,278.62
12.35,-3.67,3.5,-25.94,125.37,243.5
13.13,-7.41,2.92,-7.25,73.12,201.75
17.01,-11.51,2.34,-6.75,35.31,147.37
21.48,-9.86,2.29,-25.75,10.75,85.06
21.77,-0.87,2.26,-30.94,-6.31,-3.56
19.48,2.31,2.33,-29.0,-1.94,-62.44
16.27,4.21,1.58,-24.44,4.94,-127.25
11.06,5.55,0.87,-15.19,7.94,-170.31
9.49,4.85,0.98,-3.87,14.81,-202.0
5.32,3.3,1.37,9.31,20.0,-223.25
4.22,0.67,1.04,23.5,14.06,-227.44
-2.28,-1.26,0.71,30.81,-1.06,-234.94
-5.85,-2.31,0.41,40.81,-35.44,-235.31
-9.44,-3.05,-0.01,46.94,-72.0,-224.69
-12.86,-3.17,0.2,43.81,-99.44,-204.31
-18.62,-2.07,2.33,32.94,-106.94,-175.62
-18.19,-1.47,2.98,15.63,-92.44,-139.94
-16.35,-1.91,3.71,9.25,-59.25,-92.94
-13.32,-2.26,4.28,6.19,-51.69,-42.75
-15.88,-2.23,1.09,11.88,-98.56,13.63
-19.33,-1.62,-1.58,24.81,-155.62,75.75
-21.19,-0.81,-3.21,32.63,-155.19,135.06
-16.19,-0.75,-3.51,37.38,-87.94,181.19
-11.62,-0.97,-2.7,38.88,18.87,213.31
-5.55,-2.02,-0.94,34.25,126.31,245.0
2.93,-3.5,-0.03,10.19,198.0,275.0
11.96,-2.26,3.95,-17.69,230.0,290.75
10.72,-1.43,4.58,-21.81,217.37,278.69
11.52,-3.41,5.26,-18.44,177.37,241.5
13.86,-8.24,5.03,-13.06,126.12,187.5
22.44,-12.62,3.08,-25.56,66.19,123.62
24.87,-5.44,2.86,-40.31,3.44,57.75
22.79,0.43,3.32,-41.0,-44.06,-43.94
14.72,4.86,1.22,-28.31,-66.56,-105.56
12.31,5.76,0.2,-26.69,-47.38,-154.31
10.71,5.97,0.3,-21.87,-16.87,-188.75
9.13,6.34,0.77,-7.25,1.12,-214.12
3.41,2.27,1.17,10.56,3.25,-220.19
0.48,1.07,0.93,21.62,2.19,-219.56
-2.33,-0.57,0.83,32.75,-14.5,-227.75
-6.32,-1.73,0.79,43.31,-43.13,-220.06
-14.73,-2.4,0.75,48.31,-80.81,-205.25
-18.13,-1.83,1.6,45.44,-108.31,-179.44
-19.79,-0.64,1.63,29.56,-104.44,-145.69
-19.14,-0.3,2.26,17.87,-68.5,-101.81
-11.5,-2.29,4.12,13.31,-33.13,-54.06
-10.81,-2.7,3.21,11.38,-48.38,-3.81
-13.87,-2.79,0.82,23.5,-112.81,53.88
-19.58,-2.08,-3.91,38.19,-158.75,114.0
-18.35,-1.87,-4.2,45.63,-122.19,165.62
-14.25,-2.2,-3.55,45.94,-18.25,199.44
-8.47,-2.25,-1.23,36.56,96.19,222.56
6.52,-4.06,2.42,15.0,176.69,250.5
10.31,-2.62,3.91,-15.88,211.25,260.31
10.35,-1.83,3.55,-21.81,187.06,259.62
9.87,-1.89,4.02,-14.81,132.69,236.0
11.0,-8.26,3.51,0.81,76.62,184.56
15.82,-11.88,2.5,-3.44,38.69,135.56
19.77,-8.45,2.25,-30.31,8.69,81.69
