Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
23.01,3.93,-4.84,-17.06,82.69,-4.25
18.99,2.77,-3.17,-23.25,61.5,-86.75
15.81,1.84,-2.17,-24.69,40.56,-163.69
12.65,0.9,-1.19,-25.06,16.75,-230.25
8.93,-0.6,0.0,-23.19,-13.75,-281.31
-2.13,-1.81,2.66,-23.56,-48.75,-314.31
-8.1,-2.6,3.5,-24.62,-90.37,-324.75
-14.04,-2.25,5.02,-25.75,-127.75,-310.81
-18.76,-3.3,6.24,-17.12,-145.62,-269.87
-22.32,-1.01,9.46,-14.25,-145.81,-200.69
-24.75,-0.3,9.71,-9.0,-126.56,-115.94
-26.53,-1.38,8.6,16.44,-93.81,-1.31
-24.06,-1.38,5.88,42.94,-59.0,97.94
-20.29,-2.27,4.84,65.81,-26.69,180.56
-16.12,-3.11,3.9,83.25,1.44,249.94
-11.85,-2.59,2.22,92.37,17.12,298.62
-1.26,-4.18,-0.93,95.81,22.62,335.62
3.49,-3.98,-1.86,94.31,25.06,336.37
8.24,-3.28,-2.98,86.62,22.62,316.94
13.14,-2.36,-4.0,77.37,18.06,276.87
21.28,-0.96,-4.46,67.12,15.44,222.25
23.0,0.5,-3.79,52.25,6.81,155.12
23.68,1.71,-4.22,33.31,-15.06,71.69
23.74,1.96,-5.14,15.38,-39.13,-11.06
19.26,2.05,-5.23,-1.19,-54.38,-93.12
16.62,-0.99,-4.45,-12.63,-52.69,-167.31
12.47,-4.05,-2.57,-19.94,-30.81,-235.62
5.77,0.09,-1.55,-55.06,-7.06,-274.31
3.55,-3.21,1.65,-64.5,25.06,-271.0
-2.79,-3.49,2.66,-42.81,36.88,-355.87
-8.63,-4.2,3.36,-43.88,4.87,-356.81
-18.56,-1.69,5.43,-50.13,-18.75,-324.94
-21.93,-0.73,6.65,-40.81,-27.69,-282.5
-24.35,0.13,7.3,-26.44,-48.06,-202.31
-26.12,0.58,7.53,-7.31,-75.12,-105.19
-25.48,0.18,7.12,13.56,-88.87,-3.0
-23.79,-0.35,6.41,35.13,-84.19,96.0
-21.22,-1.49,5.39,54.56,-64.87,181.75
-13.95,-3.52,2.85,73.0,-34.38,251.62
-9.03,-4.83,1.13,84.87,-2.75,302.31
-3.8,-5.47,-0.12,89.0,24.56,324.56
1.37,-5.23,-1.51,83.62,38.75,325.19
10.8,-3.92,-3.99,72.94,34.63,310.31
14.68,-2.82,-4.7,62.25,22.25,276.81
17.68,-1.63,-5.45,49.63,8.5,223.12
20.07,-0.99,-5.9,34.44,1.87,164.19
22.56,1.81,-6.65,9.06,4.75,94.5
22.37,1.0,-6.63,-13.13,7.56,10.31
18.7,3.1,-6.51,-28.06,13.81,-70.62
19.61,-0.61,-5.32,-49.56,26.75,-108.56
13.62,-0.59,-2.61,-62.88,43.81,-215.62
9.98,-1.29,-1.76,-79.75,47.25,-272.62
6.43,-2.18,-0.75,-88.5,61.69,-312.62
-1.46,-3.28,2.55,-84.44,78.94,-348.12
-7.05,-1.56,3.83,-84.06,75.31,-359.06
-11.93,-0.81,4.89,-79.81,42.94,-343.62
-16.54,-0.59,6.43,-58.25,-2.69,-303.12
-23.51,0.15,8.16,-34.06,-47.81,-248.81
-25.17,1.0,8.37,-20.75,-81.62,-158.62
-26.14,1.25,8.38,-3.94,-96.5,-44.38
-26.14,1.25,8.38,22.5,-91.69,64.5
-20.13,-1.95,6.04,49.5,-70.5,161.37
-16.56,-3.35,5.04,72.19,-39.88,235.69
-13.12,-3.76,4.39,84.19,-11.63,289.31
-4.54,-3.82,1.16,90.62,5.31,319.81
-4.54,-3.82,1.16,95.0,10.75,335.94
0.62,-4.51,-0.49,98.06,9.69,337.0
5.15,-4.8,-2.0,94.25,2.81,313.81
9.27,-4.36,-3.28,83.44,-5.62,272.31
16.2,-2.26,-4.9,70.75,-13.5,213.56
18.41,-1.26,-5.61,53.88,-19.69,153.25
20.31,-0.26,-6.43,31.94,-23.31,82.44
21.21,1.0,-7.22,13.56,-19.75,-3.44
18.4,2.28,-7.35,-5.12,-15.13,-60.25
18.72,-0.14,-6.69,-29.44,2.5,-115.06
16.65,-0.48,-4.96,-45.94,13.0,-219.87
9.54,-1.02,-3.2,-67.94,24.06,-260.94
5.81,-1.6,-1.8,-79.31,50.63,-301.5
1.79,-2.02,-0.43,-83.25,75.0,-323.44
-2.36,-2.75,1.16,-83.31,76.81,-324.94
-11.78,-0.34,4.21,-83.31,76.81,-324.94
-16.12,-0.15,5.13,-60.25,9.63,-261.19
-19.84,-0.2,6.13,-39.75,-23.94,-190.19
-22.46,-0.3,7.15,-17.56,-46.31,-98.44
-24.19,0.27,8.34,7.25,-52.5,4.56
-23.34,-0.29,8.23,7.25,-52.5,4.56
-21.79,-0.82,7.17,30.87,-44.5,101.44
-20.12,-1.3,5.86,70.19,-16.81,238.25
-15.22,-3.55,3.77,81.5,2.87,278.94
-11.52,-4.33,2.56,85.5,22.37,313.56
-7.42,-4.31,1.14,85.5,22.37,313.56
1.87,-5.32,-1.35,83.19,35.19,334.69
6.14,-5.2,-2.47,70.5,35.88,300.81
10.13,-4.63,-3.52,55.13,25.5,259.81
13.54,-3.48,-4.4,40.06,15.81,204.25
18.92,-2.03,-5.63,40.06,15.81,204.25
18.46,1.04,-5.61,22.69,8.63,139.81
20.07,0.01,-6.63,-11.44,10.75,19.25
20.58,-0.68,-4.91,-31.19,9.63,-103.62
14.98,0.24,-3.98,-43.81,-0.37,-165.19
12.63,-0.39,-3.92,-43.81,-0.37,-165.19
