Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-4.24,-1.06,-3.65,209.87,-10.25,-168.25
-9.1,-1.26,-7.56,200.31,-52.75,-163.75
-11.44,-1.28,-8.15,178.69,-93.44,-156.94
-13.69,-1.61,-8.7,152.5,-121.19,-135.56
-16.03,-2.13,-9.55,115.44,-124.81,-96.94
-19.12,-2.22,-10.68,65.06,-97.69,-45.38
-18.6,-1.77,-10.55,16.06,-53.75,11.75
-16.64,-1.56,-9.64,-20.56,-5.31,65.5
-14.01,-1.44,-8.22,-44.44,32.56,115.06
-10.62,-1.79,-5.14,-61.5,47.25,158.81
-9.1,-1.78,-3.22,-78.06,54.81,201.12
-6.47,-1.55,-0.65,-96.5,85.75,239.5
-2.7,-1.44,2.54,-113.06,133.75,260.87
6.18,-1.76,10.44,-120.5,174.69,268.19
9.42,-3.09,12.94,-115.19,186.25,260.56
11.35,-4.94,16.07,-101.69,159.75,238.56
19.26,-5.87,21.28,-78.06,123.12,202.12
20.42,-4.18,19.93,-36.94,99.5,138.94
17.38,-1.17,16.43,14.31,65.62,54.19
12.59,1.73,11.64,73.37,21.94,-23.31
7.65,4.73,7.99,124.62,2.0,-87.69
5.41,4.64,6.82,160.5,13.0,-142.5
3.32,3.87,4.85,182.56,31.62,-176.06
0.79,2.39,2.33,192.31,31.87,-187.25
-3.92,0.31,-2.77,195.69,10.94,-187.31
-5.75,-0.34,-5.21,195.25,-17.81,-185.0
-7.55,-0.81,-6.65,188.06,-42.94,-178.37
-12.22,-1.17,-8.49,173.0,-62.81,-166.25
-14.29,-1.64,-8.25,151.31,-79.62,-145.44
-16.65,-2.69,-8.57,128.19,-91.75,-106.75
-18.56,-3.65,-9.36,92.87,-96.06,-50.25
-18.83,-3.18,-10.37,45.81,-79.81,16.25
-17.28,-2.73,-9.79,2.37,-41.44,76.87
-15.2,-2.6,-8.79,-27.5,2.06,130.56
-12.89,-2.51,-7.46,-50.06,36.25,181.75
-7.2,-2.36,-2.94,-71.94,65.25,226.44
-3.45,-2.3,1.4,-94.81,104.69,259.69
1.83,-2.53,7.08,-116.37,157.19,279.5
9.19,-2.65,12.88,-136.5,215.19,281.31
21.72,-2.08,20.59,-145.94,227.5,259.75
23.39,-2.52,18.84,-120.31,142.69,218.75
22.47,-1.41,15.22,-66.81,27.69,146.31
17.42,3.34,9.22,-3.31,-41.06,51.38
13.99,5.14,8.31,66.44,-46.19,-24.25
10.9,6.43,8.2,125.37,-19.37,-91.56
7.82,7.1,8.57,162.0,14.19,-142.94
1.33,2.5,4.08,187.81,23.19,-181.62
-1.86,0.96,1.19,201.0,3.81,-189.81
-4.84,0.34,-1.27,200.37,-31.56,-190.75
-7.75,-1.19,-3.1,200.37,-73.75,-191.44
-12.95,-3.55,-4.73,195.31,-101.37,-182.19
-15.26,-3.6,-4.55,167.31,-103.06,-165.62
-16.95,-4.33,-4.57,131.0,-82.87,-134.12
-19.12,-4.83,-6.49,94.44,-54.88,-74.69
-19.65,-3.93,-7.89,55.69,-33.69,-2.75
-19.33,-3.34,-8.46,28.31,-24.62,65.87
-18.0,-3.31,-7.31,15.5,-9.63,130.81
-14.74,-4.49,-1.83,7.69,28.69,187.31
-12.13,-4.99,1.15,-2.87,84.25,239.0
-8.42,-5.3,3.05,-15.06,133.31,289.87
-3.21,-5.11,3.44,-22.06,160.37,331.31
8.83,-5.01,6.05,-17.31,171.5,354.62
12.22,-5.08,8.04,-4.44,184.69,353.19
14.45,-4.61,10.68,2.5,220.0,331.81
17.16,-3.23,11.32,6.81,252.75,297.37
21.19,3.01,6.63,14.69,244.06,241.44
20.64,5.3,3.93,34.5,205.44,164.25
18.68,6.59,2.4,64.81,163.75,82.56
13.39,7.28,2.0,90.94,119.5,9.5
10.67,7.01,2.19,102.06,89.5,-53.75
7.65,6.44,1.88,100.37,63.5,-104.69
3.8,5.18,0.85,90.69,40.44,-139.0
-5.77,3.52,-1.68,78.81,26.0,-154.19
-10.92,2.38,-2.46,69.19,18.0,-157.37
-15.03,1.29,-3.03,67.5,14.94,-149.69
-18.63,0.24,-2.47,71.62,7.5,-126.5
-21.59,-1.5,-0.65,73.56,-6.56,-87.87
-20.44,-2.53,0.34,77.62,-38.94,-24.94
-18.48,-3.55,0.77,82.44,-73.62,54.44
-14.13,-4.85,0.02,88.0,-86.56,132.75
-13.19,-4.49,-0.06,88.69,-62.31,205.06
-11.61,-3.72,0.36,80.81,-1.75,266.56
-8.19,-3.23,1.25,69.81,78.19,305.37
4.22,-4.08,1.72,35.13,205.19,310.5
10.98,-2.32,0.65,35.13,205.19,310.5
16.62,0.68,-0.58,5.25,223.44,281.5
20.88,3.15,-1.37,-16.0,202.44,223.62
24.82,5.32,-2.0,-23.56,153.12,153.12
23.21,5.85,-0.79,-21.56,51.63,-20.25
20.94,5.65,-0.19,-21.56,51.63,-20.25
14.66,4.01,1.87,-15.88,-11.63,-180.5
9.3,3.02,2.8,-13.13,-35.25,-238.94
3.68,1.67,3.36,-4.31,-73.44,-270.62
-2.41,0.23,4.8,8.94,-116.12,-282.25
-15.63,-0.89,8.48,8.94,-116.12,-282.25
-19.24,-1.41,9.04,40.81,-204.94,-215.06
-22.08,-1.77,9.78,55.19,-208.75,-138.69
-23.53,-1.86,10.05,76.5,-177.69,-45.06
-22.29,-2.76,8.11,104.12,-112.25,52.69
-20.53,-2.66,5.43,130.0,-31.0,140.37
-18.17,-2.79,3.43,148.06,55.0,211.19
