Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
6.56,4.23,1.44,11.5,-1.37,-195.37
3.88,2.9,1.29,11.5,-1.37,-195.37
-1.89,-0.32,0.69,26.75,-16.44,-202.37
-4.57,-1.07,0.35,43.13,-51.25,-196.69
-7.51,-1.0,0.04,43.63,-68.69,-182.56
-12.65,0.8,0.0,40.31,-85.81,-156.87
-14.78,1.17,0.92,40.31,-85.81,-156.87
-15.87,1.14,1.26,31.56,-93.69,-124.25
-16.16,0.49,1.61,18.25,-91.31,-38.75
-14.71,-1.1,0.94,20.37,-97.75,8.31
-14.75,-1.07,-0.37,22.25,-109.87,60.5
-15.69,-0.8,-1.83,22.25,-109.87,60.5
-16.04,-0.46,-2.98,25.5,-101.25,112.06
-13.15,-0.36,-1.92,26.87,54.63,193.12
-9.0,-2.12,-0.82,5.5,159.12,224.81
-3.99,-3.25,0.96,-28.06,231.56,241.75
1.01,-3.1,3.96,-28.06,231.56,241.75
8.31,-3.61,2.91,-43.69,244.25,251.69
12.03,-3.51,3.14,-46.0,153.69,212.06
14.2,-4.18,4.18,-32.31,88.19,160.56
15.72,-7.3,5.46,-20.06,41.63,107.87
18.16,-7.02,5.73,-20.06,41.63,107.87
19.09,-4.36,4.8,-17.06,12.31,53.0
17.42,-1.05,3.26,-7.19,-55.38,-75.19
11.74,2.94,1.15,2.19,-52.44,-126.56
10.37,3.61,0.74,6.81,-34.25,-158.62
9.07,3.51,0.41,6.81,-34.25,-158.62
7.75,3.65,0.37,10.13,-19.5,-182.06
3.23,0.55,0.49,18.44,-16.31,-201.87
0.26,0.06,0.61,29.12,-20.37,-192.31
-2.82,-0.71,0.44,33.06,-30.75,-193.37
-5.37,-1.58,0.09,40.06,-53.19,-188.75
-9.71,-2.11,-0.71,45.06,-76.81,-183.0
-11.82,-2.04,-0.47,42.94,-91.25,-168.25
-13.6,-1.53,0.21,35.25,-95.25,-144.75
-13.71,-1.47,1.37,25.19,-89.37,-112.81
-13.38,-1.77,1.86,13.81,-74.69,-72.12
-12.95,-1.63,1.04,10.25,-83.62,15.25
-13.87,-1.35,-0.08,10.25,-83.62,15.25
-15.5,-1.24,-2.26,17.0,-101.19,63.75
-15.21,-0.73,-2.47,21.75,-90.5,111.62
-13.81,-0.23,-2.15,21.44,-32.94,151.44
-10.78,-0.82,-1.24,15.19,56.88,187.0
-0.07,-2.62,1.73,-8.94,145.69,221.31
4.85,-2.52,3.46,-41.56,209.31,241.37
9.46,-2.59,4.56,-60.38,233.75,257.37
14.85,-1.9,6.6,-61.25,223.94,245.94
16.41,-3.57,7.39,-34.13,112.06,158.06
16.39,-5.62,6.98,-34.13,112.06,158.06
16.26,-7.2,6.36,-18.25,47.5,99.69
16.37,-3.82,3.6,-6.62,-27.75,-25.19
14.56,0.07,2.41,-6.62,-27.75,-25.19
12.81,2.54,2.0,6.19,-13.69,-147.62
11.89,3.92,2.03,6.19,-13.69,-147.62
9.29,4.21,1.5,14.81,2.12,-182.37
8.48,3.88,1.49,25.62,4.62,-203.06
4.95,2.51,2.08,53.06,-14.25,-226.5
0.56,-0.07,1.19,60.25,-29.0,-221.87
-2.26,-1.43,0.75,60.25,-29.0,-221.87
-4.88,-2.97,0.35,69.0,-57.81,-230.94
-7.53,-3.42,-0.12,75.0,-94.94,-224.62
-11.93,-2.58,0.11,61.5,-137.06,-184.12
-14.19,-2.41,1.06,46.25,-128.19,-149.37
-15.8,-2.87,1.86,46.25,-128.19,-149.37
-16.08,-3.75,2.04,10.81,-80.37,-69.75
-15.5,-3.55,1.57,-2.06,-73.62,-27.44
-16.24,-2.89,0.5,-1.87,-91.25,23.19
-17.18,-2.28,-0.74,5.44,-99.06,71.62
-17.8,-2.12,-1.53,9.19,-73.06,114.87
-15.16,-2.42,-2.2,3.94,-15.25,153.44
-12.92,-1.85,-1.85,-0.44,54.38,190.69
-10.91,-0.96,-1.22,-4.19,127.06,231.81
-3.46,-2.86,0.64,-23.94,197.56,263.0
0.5,-2.42,1.4,-49.56,247.19,274.37
5.04,-2.03,2.38,-61.75,257.44,280.81
8.92,-1.99,2.17,-62.5,234.5,269.0
16.07,-3.25,4.43,-58.94,181.56,233.62
18.59,-5.27,6.69,-49.44,105.5,183.25
18.15,-5.62,8.4,-31.75,11.13,107.81
17.2,-7.1,8.46,-7.94,-63.38,54.75
18.81,-2.39,5.3,-11.69,-74.94,-12.88
18.72,1.6,3.88,-8.69,-59.13,-88.69
16.12,3.51,2.88,-3.69,-25.0,-143.94
14.64,5.11,2.91,3.25,-1.69,-177.69
10.63,5.68,2.08,13.56,4.94,-204.0
10.18,3.84,1.67,23.87,10.75,-213.69
6.73,3.25,1.64,33.81,1.75,-235.5
0.25,-0.67,0.59,49.56,-23.75,-239.81
-2.27,-1.61,0.37,56.06,-46.13,-245.37
-4.88,-2.23,0.55,59.19,-70.25,-242.69
-7.66,-2.82,0.53,57.38,-99.75,-224.56
-13.96,-3.31,1.08,51.19,-123.81,-192.87
-15.63,-2.88,1.55,41.44,-126.37,-154.94
-16.1,-3.26,1.74,22.25,-106.69,-116.81
-14.94,-4.06,1.53,2.44,-100.44,-71.19
-15.64,-3.07,-0.44,4.37,-134.56,-19.44
-18.31,-2.25,-1.56,22.44,-173.56,34.06
-19.96,-2.04,-2.66,29.06,-168.31,86.37
-19.94,-1.68,-3.08,26.44,-111.25,130.75
-14.38,-0.85,-2.28,22.06,-23.81,165.87
-11.08,-0.65,-1.7,21.12,74.69,204.31
