Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.17,0.05,0.05,2.0,-0.37,-0.5
0.15,0.04,0.0,1.87,-0.62,-0.44
0.14,0.03,0.04,2.25,-0.69,-0.81
0.15,0.01,0.04,2.31,-1.0,-1.0
0.12,0.0,0.15,2.5,-1.31,-1.0
0.12,0.0,0.2,2.5,-1.56,-1.12
0.15,0.0,0.12,2.62,-1.44,-1.19
0.11,0.0,0.07,2.69,-1.37,-1.06
0.09,-0.02,0.04,2.37,-0.94,-0.81
0.1,-0.01,0.08,2.19,-0.19,-1.06
0.13,0.0,0.07,2.0,0.25,-1.25
0.13,0.0,0.04,1.81,0.19,-1.19
0.08,-0.04,0.0,1.69,0.0,-1.25
0.08,0.0,0.0,1.37,-0.5,-1.19
0.09,0.0,0.03,1.19,-0.31,-1.25
0.06,0.0,0.02,1.25,-0.19,-1.31
0.05,0.0,0.03,1.06,-0.31,-1.19
0.01,0.01,0.09,0.81,-0.31,-1.12
0.05,-0.02,0.1,0.94,-0.56,-1.0
-0.02,-0.04,0.04,1.0,-0.13,-0.88
-0.02,-0.04,0.04,1.0,-0.25,-0.69
0.0,0.0,0.04,0.81,0.0,-0.37
0.03,0.01,0.02,0.81,0.44,-0.37
0.02,0.01,0.06,0.88,1.06,-0.56
0.05,0.01,0.08,0.25,0.5,-0.37
0.1,0.02,0.14,0.31,0.37,-0.62
0.15,0.0,0.13,0.06,0.13,-0.5
0.01,0.02,0.06,0.06,0.13,-0.5
0.03,0.05,0.14,0.06,0.25,-0.62
0.09,0.03,0.16,0.13,0.81,-0.69
0.06,0.0,0.06,0.13,0.81,-0.69
0.06,0.0,0.09,0.06,1.37,-0.62
0.09,0.02,0.11,0.19,1.12,-0.62
0.12,0.01,0.1,0.37,0.81,-0.62
0.12,0.0,0.1,0.44,1.0,-0.94
0.08,0.0,0.08,0.31,1.12,-0.75
0.04,0.02,0.08,0.19,0.94,-0.75
0.08,0.0,0.12,0.25,1.0,-0.81
0.1,-0.02,0.12,0.31,1.0,-0.88
0.1,-0.04,0.09,0.31,0.62,-0.94
0.09,-0.01,0.09,0.19,0.75,-1.06
0.09,0.0,0.11,0.31,1.0,-1.19
0.1,-0.02,0.06,0.25,1.37,-1.12
0.06,0.0,0.02,0.25,1.19,-1.06
0.08,0.01,0.06,0.25,1.25,-1.12
0.09,0.03,0.06,0.25,1.12,-1.12
0.13,0.01,0.09,0.44,1.0,-1.25
0.1,0.0,0.09,0.56,1.0,-1.37
0.07,0.01,0.13,0.56,0.44,-1.25
0.09,0.01,0.18,0.62,0.25,-1.19
0.07,0.04,0.15,0.75,0.62,-1.12
0.08,0.01,0.09,0.69,0.88,-1.31
0.08,0.04,0.08,0.81,0.81,-1.37
0.12,0.01,0.09,0.75,0.88,-1.37
0.09,0.01,0.04,0.75,0.88,-1.37
0.09,0.01,0.06,0.69,0.81,-1.44
0.14,0.01,0.12,0.5,0.37,-1.25
0.22,-0.01,0.05,0.37,-0.19,-0.94
0.07,-0.05,0.11,0.5,0.0,-0.81
0.08,-0.03,0.17,0.5,0.5,-1.0
0.08,-0.06,0.19,0.44,0.44,-0.88
0.02,0.0,0.14,0.88,0.56,-0.81
0.02,0.03,0.16,1.12,0.13,-0.62
0.05,0.01,0.14,1.12,0.13,-0.62
0.04,0.01,0.08,1.12,-0.06,-0.5
0.07,0.04,0.08,1.31,-0.25,-0.44
0.06,0.04,0.04,1.69,-0.25,-0.19
0.09,0.03,0.03,1.75,0.37,-0.25
0.12,0.0,0.09,1.81,0.06,-0.31
0.14,0.0,0.11,2.0,-0.56,-0.44
0.14,0.0,0.09,2.12,-0.81,-0.44
0.16,-0.04,0.09,2.0,-0.62,-0.75
0.1,-0.04,0.08,1.69,-0.62,-0.62
0.1,0.0,0.1,1.5,-0.94,-0.75
0.14,0.02,0.12,1.44,-0.75,-0.88
0.13,0.01,0.13,1.5,-0.56,-1.12
0.11,0.04,0.11,1.25,-0.37,-1.0
0.13,0.06,0.11,1.44,-0.19,-1.0
0.12,0.05,0.12,1.5,-0.13,-1.19
0.08,0.07,0.13,1.37,-0.37,-1.0
0.06,0.06,0.07,1.19,-0.69,-0.88
0.01,0.06,0.1,1.31,-0.88,-0.75
0.03,0.04,0.06,1.5,-0.75,-0.75
0.06,0.03,0.05,1.62,-0.31,-0.75
0.07,0.01,0.07,1.56,-0.31,-0.75
0.06,0.04,0.09,1.75,-0.19,-0.69
0.03,0.06,0.09,1.81,-0.25,-0.62
0.0,0.05,0.11,2.06,-0.37,-0.69
0.02,0.06,0.16,2.37,-0.56,-0.62
0.02,0.05,0.11,2.31,-0.44,-0.56
-0.03,0.03,0.14,2.31,-0.44,-0.31
-0.03,0.02,0.17,2.19,-0.56,-0.19
-0.02,0.03,0.13,2.19,-0.81,0.19
0.0,0.01,0.12,2.31,-0.37,0.37
0.02,-0.02,0.09,2.25,-0.06,0.5
0.06,-0.02,0.12,2.12,0.13,0.56
0.06,0.0,0.14,1.87,0.0,0.56
0.04,0.01,0.08,1.94,0.13,0.69
0.01,0.02,0.09,2.0,0.0,0.62
0.02,0.05,0.09,2.06,0.19,0.75
0.03,0.03,0.09,2.25,0.5,0.75
