Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-3.23,1.64,3.53,27.81,-78.69,-42.38
-3.31,1.59,3.38,28.37,-74.31,-41.88
-3.0,1.43,3.09,26.69,-63.13,-40.0
-2.85,1.3,2.88,26.19,-57.31,-37.63
-3.04,1.16,1.94,27.25,-61.31,-32.94
-2.77,1.02,1.46,26.69,-60.5,-31.31
-2.89,0.64,1.41,25.25,-58.38,-26.5
-3.07,0.58,1.47,24.44,-59.5,-21.87
-2.2,0.35,0.9,23.31,-50.75,-18.31
-0.92,0.06,0.64,18.44,-36.06,-16.56
-0.31,0.25,0.27,16.5,-33.69,-15.19
0.38,0.17,-0.8,19.62,-32.0,-14.5
0.87,-0.04,-1.08,18.94,-21.62,-17.0
1.32,-0.16,-1.38,18.81,-11.81,-17.69
1.88,-0.25,-1.77,16.19,-2.37,-16.62
3.28,-0.74,-3.27,10.5,5.69,-17.56
4.38,-1.08,-4.95,2.75,5.06,-21.0
5.7,-1.78,-7.04,-11.81,-3.44,-26.12
1.76,-0.19,-6.5,-18.5,-24.69,-33.13
1.19,-0.52,-5.89,-19.37,-38.25,-29.94
1.57,-1.37,-5.49,-38.13,-28.25,-22.56
0.54,-0.98,-3.96,-50.94,-29.25,-22.25
-0.37,-0.33,-2.86,-46.44,-20.87,-19.75
0.39,-0.78,-1.93,-56.81,10.44,-7.75
0.82,-0.53,-1.97,-63.63,22.37,-4.62
1.57,-0.27,-2.19,-60.44,22.5,-6.81
3.06,-0.78,-3.1,-58.0,19.5,-5.37
3.58,-1.19,-3.33,-54.56,14.56,-7.06
3.74,-1.32,-3.15,-51.81,10.06,-10.06
3.25,-1.16,-2.32,-46.81,7.25,-12.0
1.98,-1.18,0.02,-36.38,6.31,-15.06
1.59,-1.41,1.16,-30.69,11.81,-17.44
1.38,-1.26,1.75,-20.75,14.63,-19.87
-0.14,-1.24,4.63,-8.5,18.37,-20.37
-0.15,-1.32,4.28,4.25,24.0,-15.5
2.18,-2.14,3.31,13.31,37.06,-14.19
3.55,-2.36,2.58,14.31,43.69,-18.25
3.63,-1.99,1.94,22.37,34.0,-19.62
2.31,-1.2,2.77,36.13,20.25,-25.37
2.74,-1.19,2.5,52.56,7.0,-22.19
2.84,-1.64,2.58,60.69,10.94,-17.69
2.35,-2.17,2.43,64.75,23.87,-15.63
3.05,-2.68,2.57,64.87,46.38,-7.94
2.94,-1.82,2.84,63.06,62.13,-5.25
2.69,-1.32,3.79,70.69,66.12,-7.06
1.93,-2.06,4.04,84.44,62.44,-7.12
1.6,-2.62,4.2,89.62,58.25,-5.94
1.51,-2.83,4.22,87.19,59.19,-6.75
0.13,-1.98,4.96,84.0,58.38,-8.88
-0.49,-1.94,4.64,85.75,51.75,-9.88
-0.78,-2.21,3.81,85.44,47.31,-9.25
-1.1,-2.23,3.37,79.5,47.06,-7.81
-2.43,-1.49,2.84,74.94,44.56,-4.56
-2.64,-0.99,2.84,72.06,46.56,-2.37
-2.92,-0.98,2.81,69.81,51.69,0.06
-3.24,-0.78,2.95,65.87,53.0,4.56
-3.62,-0.43,2.94,62.69,56.94,10.38
-3.61,-0.06,2.75,58.88,66.31,13.81
-3.35,0.3,2.66,54.44,79.31,18.5
-3.16,0.88,3.13,53.13,85.75,26.44
-3.53,1.1,2.81,54.63,89.44,30.0
-1.95,1.11,1.83,51.88,99.5,28.5
-1.2,0.79,2.03,45.81,112.81,30.12
-0.89,1.27,1.45,45.31,111.19,32.63
-0.49,1.32,2.05,41.19,114.62,32.5
-0.38,1.77,1.56,39.0,112.69,33.25
0.01,1.73,0.92,36.94,105.31,42.44
0.89,1.36,0.37,33.44,101.19,43.19
1.5,1.41,0.3,27.62,95.0,41.38
1.41,1.59,0.64,24.44,83.31,45.13
1.77,1.43,0.07,26.62,69.56,40.63
2.08,1.35,0.27,16.44,65.87,35.56
2.43,1.02,0.37,13.0,58.19,38.19
2.63,0.88,0.27,8.88,45.94,38.44
3.16,0.28,1.12,2.87,40.75,35.25
3.51,0.27,1.33,-1.19,38.44,34.75
3.71,0.12,1.67,-6.25,46.88,35.63
4.35,-0.04,1.28,-13.69,54.25,33.69
4.14,-0.45,2.96,-17.06,61.56,31.62
1.96,0.11,2.88,-13.56,56.06,29.69
3.03,-0.71,0.76,-14.31,58.44,28.5
3.28,-1.38,0.6,-27.5,77.94,27.81
3.57,-1.76,-1.12,-36.44,82.0,30.5
3.36,-1.69,-0.66,-47.19,84.87,27.81
3.29,-1.41,-0.01,-53.06,81.19,27.06
4.3,-2.25,1.02,-57.63,81.75,28.12
4.57,-2.33,1.53,-62.5,82.69,25.94
3.74,-1.96,1.82,-63.31,70.25,20.31
2.74,-1.7,1.91,-56.88,58.69,11.0
1.31,-1.58,1.56,-51.31,57.19,3.0
1.19,-1.45,1.67,-49.63,66.5,-1.56
1.53,-1.52,1.51,-45.63,70.87,-2.31
1.62,-1.74,1.63,-38.0,63.63,-4.37
1.41,-2.15,1.59,-31.06,48.38,-9.75
1.38,-2.53,1.36,-25.06,30.62,-15.31
1.36,-3.0,1.31,-20.31,13.0,-20.87
0.89,-3.77,1.46,-18.19,-3.06,-24.37
0.7,-4.07,1.55,-19.31,-13.31,-25.31
0.89,-4.46,1.51,-22.06,-19.37,-24.0
0.64,-4.68,1.85,-28.37,-28.12,-26.44
-0.64,-4.9,2.13,-27.75,-41.13,-28.06
-1.58,-4.58,2.4,-31.06,-46.25,-27.25
