Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
2.53,-2.24,0.5,-10.44,29.87,-57.44
2.26,-1.88,0.46,-7.75,27.0,-66.5
1.81,-1.6,0.33,-6.12,22.25,-76.69
1.41,-1.43,0.0,-3.62,15.94,-85.31
1.51,-1.77,-0.1,-0.13,8.81,-90.81
1.67,-2.0,-0.06,2.56,1.44,-95.94
1.88,-2.33,0.06,4.75,-8.19,-103.62
1.9,-2.75,0.53,7.12,-23.44,-112.12
1.34,-2.8,0.56,10.19,-45.69,-118.69
1.04,-2.99,0.66,11.75,-66.5,-115.62
1.22,-3.76,0.8,7.19,-79.94,-107.87
-0.22,-3.08,1.02,-5.69,-88.62,-110.37
0.26,-2.59,1.66,-15.63,-85.62,-100.19
0.55,-1.87,2.17,-28.81,-79.37,-92.12
-0.25,-1.12,2.53,-30.06,-85.69,-96.12
-0.79,-1.01,2.6,-25.62,-99.69,-103.44
-1.27,-0.93,2.71,-20.25,-111.25,-105.56
-1.67,-0.74,2.86,-19.56,-115.0,-103.75
-2.03,-0.11,3.01,-23.19,-112.06,-102.12
-2.35,0.12,3.14,-24.94,-105.37,-102.37
-2.5,0.41,3.33,-24.75,-96.0,-103.5
-2.52,0.72,3.48,-23.94,-86.75,-103.69
-2.71,0.77,3.59,-22.25,-79.25,-105.0
-2.82,0.74,3.68,-19.81,-71.37,-106.56
-2.85,0.71,3.82,-19.5,-62.06,-106.19
-2.83,0.66,3.99,-21.25,-52.5,-103.62
-2.8,0.39,4.15,-22.25,-45.06,-101.81
-2.89,0.15,4.28,-21.94,-39.38,-101.5
-2.95,-0.09,4.38,-22.94,-34.56,-100.25
-2.93,-0.2,4.53,-24.81,-29.87,-97.75
-2.93,-0.27,4.62,-25.87,-25.81,-95.31
-3.02,-0.28,4.66,-25.81,-23.19,-93.25
-3.03,-0.27,4.69,-25.19,-22.5,-91.19
-3.27,-0.44,4.5,-25.0,-22.94,-87.81
-3.35,-0.4,4.43,-24.81,-23.44,-83.56
-3.44,-0.42,4.36,-24.81,-21.87,-79.06
-3.47,-0.45,4.24,-25.19,-20.19,-74.12
-3.44,-0.49,4.16,-24.25,-18.37,-70.5
-3.57,-0.66,4.1,-21.75,-16.5,-68.31
-3.71,-0.92,4.02,-19.44,-14.88,-67.44
-3.75,-1.43,3.97,-18.56,-12.06,-65.12
-3.66,-1.75,4.01,-18.87,-7.94,-61.06
-3.64,-2.01,3.98,-19.31,-4.44,-56.88
-3.7,-2.23,3.93,-19.31,-2.56,-53.06
-3.82,-2.46,3.83,-18.56,-0.88,-50.0
-3.9,-2.49,3.79,-17.75,1.25,-46.75
-3.99,-2.51,3.74,-16.75,4.0,-42.38
-4.03,-2.47,3.69,-14.06,10.56,-31.19
-4.09,-2.16,3.49,-14.06,10.56,-31.19
-4.11,-2.12,3.4,-12.13,14.44,-24.5
-4.21,-2.29,3.25,-9.63,16.75,-17.69
-4.31,-2.7,3.14,-6.25,18.44,-10.19
-4.29,-4.45,2.81,3.37,24.87,12.75
-4.01,-5.61,2.64,3.37,24.87,12.75
-3.63,-6.32,2.58,6.81,29.56,29.62
-3.06,-5.83,2.58,6.62,33.69,48.19
-2.94,-4.86,2.58,0.31,42.38,79.25
-3.0,-3.84,2.59,-1.75,48.69,91.87
-3.17,-3.1,2.43,-1.75,48.69,91.87
-3.18,-2.4,2.12,-2.0,55.88,103.94
-3.0,-2.05,1.91,1.19,67.44,123.0
-2.77,-1.94,1.65,5.75,65.69,129.0
-2.61,-2.14,1.44,12.06,60.19,133.56
-2.32,-3.58,0.93,16.81,53.0,140.25
-1.96,-4.25,0.54,20.37,46.88,145.62
-1.56,-5.04,0.28,23.37,41.56,149.62
-0.92,-6.4,0.12,24.5,37.31,152.87
-0.68,-6.56,0.22,24.81,33.81,153.0
-0.51,-6.4,0.43,24.37,31.37,148.81
-0.53,-6.02,0.69,22.37,29.25,144.06
-0.77,-4.73,1.13,20.19,28.31,140.44
-0.71,-3.91,1.24,21.75,28.81,138.12
-0.51,-3.29,1.34,25.06,26.75,135.06
-0.47,-2.66,1.37,28.31,22.31,130.19
-0.5,-1.56,1.26,31.44,16.69,126.87
-0.32,-0.97,1.16,34.38,11.56,124.75
-0.06,-0.4,0.98,36.56,7.56,122.06
0.12,0.48,0.7,37.56,5.94,119.0
0.4,0.8,0.64,36.88,5.62,115.5
1.22,1.31,0.56,36.38,5.87,109.44
0.59,1.88,1.09,42.13,3.25,99.0
0.53,2.24,0.7,31.37,5.5,89.06
0.62,2.71,0.64,27.87,4.94,93.19
1.37,3.57,0.82,28.19,8.69,90.62
0.01,3.72,0.15,22.56,17.56,91.19
1.17,3.51,0.63,20.87,29.06,100.25
1.64,3.87,0.7,21.5,31.5,97.12
1.58,3.87,0.73,24.19,28.19,87.62
2.54,3.66,1.11,29.69,11.13,70.31
2.78,3.74,0.78,34.69,-5.69,48.5
4.52,3.73,0.59,40.56,-26.94,21.0
3.68,4.32,0.03,51.25,-49.94,-5.19
1.06,4.22,-1.22,55.38,-60.44,5.75
1.86,3.79,-1.04,44.75,-50.31,29.69
2.23,3.15,-0.92,32.0,-38.5,39.31
2.31,2.92,-0.91,19.37,-31.87,42.25
2.65,3.2,-1.01,13.5,-24.81,44.06
4.87,3.21,-0.87,13.0,-18.19,36.56
5.32,2.94,-0.69,18.25,-25.12,6.56
4.56,2.88,-1.05,22.62,-44.81,-13.88
2.99,1.39,-1.94,20.31,-50.13,8.0
