Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.29,0.55,0.36,26.37,2.87,-6.37
1.17,0.47,0.62,31.62,7.75,-5.69
0.49,0.45,1.05,36.81,-2.81,-3.06
-0.87,0.58,0.93,44.13,-20.87,2.0
-1.36,0.77,0.72,51.44,-32.81,3.62
-1.72,0.6,0.44,58.06,-32.19,3.94
-1.38,0.95,0.11,56.88,-23.81,4.69
0.0,1.28,0.37,48.63,-17.69,7.62
0.63,1.77,0.7,35.63,-13.31,11.06
0.74,2.25,0.36,22.62,-10.5,13.13
1.75,2.8,-0.6,8.19,3.44,15.56
2.56,2.99,-0.45,-11.0,28.69,17.12
3.35,2.63,-0.1,-28.62,49.44,16.12
3.72,2.36,0.08,-43.38,55.56,12.94
4.11,1.87,0.99,-53.19,47.31,8.94
3.95,1.79,1.28,-56.56,29.44,4.94
3.74,1.69,1.42,-51.31,7.31,1.37
3.47,1.07,1.36,-41.56,-12.44,-2.94
3.35,0.97,1.19,-31.44,-30.69,-5.5
3.29,0.92,0.82,-21.94,-43.0,-5.37
2.89,0.56,0.57,-13.75,-47.69,-3.37
0.95,-0.33,-0.8,-6.06,-49.44,-0.31
0.24,-0.64,-1.2,0.06,-49.56,3.81
-0.19,-0.45,-1.07,2.0,-43.69,9.19
0.13,-0.34,-0.6,1.81,-26.69,12.88
1.11,-0.38,1.16,0.94,-4.37,12.38
1.1,-0.69,1.99,-1.0,13.19,10.75
1.03,-1.13,2.68,-3.62,16.56,11.63
0.76,-1.54,2.85,-5.12,6.25,12.94
0.37,-1.33,2.91,-6.44,-8.94,11.19
-0.11,-0.76,2.89,-9.13,-21.0,9.44
-0.32,-0.41,3.09,-12.38,-26.62,11.06
-0.34,-0.62,3.23,-13.13,-27.75,12.13
-0.65,-0.98,3.05,-11.44,-28.0,10.94
-0.96,-1.43,2.82,-7.62,-27.0,10.44
-1.04,-1.83,2.41,-3.94,-22.62,9.44
-0.56,-2.0,1.26,-3.94,-14.63,7.81
-0.15,-1.74,0.71,-7.25,-6.06,5.75
0.38,-1.42,0.5,-11.06,-1.12,4.0
0.7,-1.18,0.52,-14.69,-1.0,1.87
0.26,-0.96,0.69,-16.94,-4.12,-1.56
0.11,-1.04,0.55,-18.19,-10.13,-5.0
0.1,-1.11,0.26,-17.44,-13.81,-7.94
0.44,-0.58,0.52,-19.44,-12.56,-9.19
0.88,-0.06,0.79,-23.62,-8.94,-8.44
1.53,0.3,1.09,-25.81,-7.37,-7.69
2.22,0.59,1.59,-27.37,-11.44,-9.25
3.04,0.52,2.56,-26.62,-26.06,-14.38
3.13,0.29,2.92,-23.06,-50.13,-21.31
3.05,0.03,3.2,-16.25,-80.5,-30.69
2.75,-0.47,2.89,-8.0,-107.69,-37.63
0.17,-0.52,1.66,-3.56,-121.87,-43.06
-1.28,-0.39,0.53,-3.56,-118.25,-43.19
-1.62,-0.18,0.11,-4.37,-90.56,-37.31
-0.03,-0.18,-0.67,-4.25,-47.63,-31.75
0.82,-0.04,-0.97,-4.0,-2.75,-27.5
1.45,0.47,-0.94,-5.31,33.13,-26.75
2.52,0.94,-0.21,-8.63,54.88,-26.25
3.45,1.21,1.15,-10.31,56.69,-25.94
2.38,0.87,1.27,-9.13,36.88,-26.81
0.87,0.51,1.38,-6.37,4.75,-27.37
-0.71,0.26,1.58,-4.5,-18.87,-26.44
-3.29,-0.06,0.96,-4.12,-25.31,-22.81
-3.13,-0.38,0.14,-4.56,-14.56,-17.62
-2.89,-0.56,-0.15,-6.06,7.75,-12.88
-2.56,-0.68,-0.63,-7.75,30.87,-7.69
-2.76,-0.86,0.43,-9.0,46.94,-0.81
-3.5,-0.65,0.85,-9.94,54.44,4.87
-4.22,-0.22,0.95,-10.94,60.38,11.19
-5.47,1.21,2.1,-16.06,77.75,18.69
-5.99,1.79,2.52,-26.25,108.5,28.69
-6.16,2.14,3.11,-38.63,148.56,42.81
-6.1,2.23,4.07,-53.06,193.19,60.94
-5.09,3.29,5.96,-70.12,236.12,81.87
-3.58,4.23,6.1,-84.44,266.56,103.56
-2.09,4.92,5.95,-87.94,279.62,122.19
-1.22,5.14,5.43,-88.0,271.19,135.69
-0.55,4.67,2.55,-79.37,239.0,144.75
-1.78,3.58,1.65,-65.5,198.12,159.0
-3.13,3.78,0.59,-41.81,175.5,163.37
-0.55,3.72,2.28,-26.37,179.56,173.44
1.07,4.29,3.51,-14.94,207.06,189.62
0.29,5.0,4.36,9.81,243.62,190.94
0.23,4.84,5.34,40.44,274.62,181.06
0.55,3.67,7.26,67.56,310.56,182.5
1.24,2.96,8.36,92.62,348.25,178.19
1.1,2.62,9.31,114.37,372.25,175.5
0.08,2.6,9.47,131.81,384.44,167.81
1.7,1.07,10.05,149.06,395.5,165.31
3.8,0.39,10.03,163.25,399.19,163.69
3.96,0.24,8.99,170.19,369.25,154.12
3.54,-0.64,6.68,173.19,312.06,137.69
3.87,-0.88,5.7,174.62,267.62,122.12
3.71,-0.52,4.71,172.12,238.81,112.31
3.06,-0.94,4.76,168.06,216.06,104.44
3.7,-1.34,4.57,164.31,204.87,99.81
2.18,-1.0,3.11,155.12,187.87,86.62
-0.18,-1.76,1.81,157.37,157.06,70.12
-0.9,-2.53,1.52,155.37,152.37,65.81
-0.15,-2.79,1.89,147.69,172.5,64.5
1.12,-3.16,2.44,138.19,181.12,63.06
1.34,-3.07,1.97,131.81,170.5,60.31
