Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.81,-1.81,2.84,-109.25,29.06,123.87
0.8,-1.0,3.21,-99.31,28.5,128.56
1.77,-0.61,3.15,-88.06,18.0,130.31
2.27,-0.46,2.98,-78.75,-0.75,126.87
2.71,-0.36,2.84,-73.12,-21.87,122.56
3.19,-0.23,2.56,-68.19,-40.5,116.69
3.53,-0.05,2.7,-65.19,-61.63,107.62
3.45,0.49,2.71,-65.37,-86.94,95.75
2.97,0.89,3.53,-64.56,-109.94,85.12
2.64,1.23,3.73,-63.5,-135.25,74.12
2.03,1.53,4.08,-58.44,-159.81,65.62
0.9,1.87,4.31,-49.81,-171.06,57.19
-0.3,1.85,3.86,-38.88,-167.37,53.63
-0.68,1.99,3.85,-30.25,-153.75,50.0
-0.77,2.14,3.83,-21.31,-141.19,49.75
-0.88,2.24,3.67,-10.44,-135.94,52.94
-0.2,1.78,1.32,-4.44,-140.0,57.06
0.23,2.0,0.16,-8.19,-161.75,63.31
0.23,2.41,0.02,-8.88,-197.06,69.06
-1.01,2.4,0.18,-2.31,-216.75,59.38
-1.05,2.13,0.55,5.19,-215.12,49.19
-0.97,1.84,0.66,10.06,-200.44,42.81
-1.23,1.83,0.89,14.75,-178.62,43.56
-0.2,2.14,2.12,22.37,-158.0,46.94
-0.55,2.29,2.53,35.81,-143.06,48.25
-1.03,2.12,2.58,48.69,-123.06,45.31
-1.3,1.9,2.58,59.56,-97.31,40.06
-2.33,1.44,1.69,70.75,-73.75,39.0
-2.31,0.79,1.45,75.87,-46.44,44.69
-1.58,-0.25,1.54,74.31,-9.69,50.69
0.17,-2.11,2.43,72.12,25.81,51.06
1.29,-3.23,3.04,65.06,58.19,51.31
2.58,-4.79,3.69,59.25,76.44,57.81
3.06,-6.49,4.36,54.06,76.62,66.69
3.49,-6.92,5.02,43.38,66.94,64.75
3.5,-6.47,4.8,36.88,52.38,56.06
3.74,-5.75,4.66,30.62,34.63,45.5
3.75,-4.78,4.49,33.88,10.06,30.19
3.0,-3.38,3.57,46.25,-21.25,16.06
2.25,-2.49,3.03,64.12,-52.19,7.06
2.03,-2.0,2.28,80.69,-78.12,-1.56
1.53,-1.84,1.82,88.69,-102.31,-11.75
0.23,-0.83,1.23,95.44,-124.25,-14.5
-0.31,-0.7,0.92,105.31,-142.44,-15.0
-1.36,-0.5,0.63,108.0,-150.0,-17.25
-2.4,-0.44,0.21,108.5,-147.87,-18.44
-3.58,-0.76,-0.25,115.12,-143.25,-16.19
-3.77,-0.95,-0.62,115.62,-128.94,-12.44
-3.64,-0.81,-0.63,112.62,-107.5,-8.0
-3.26,-0.93,-0.99,111.62,-91.12,-1.56
-3.01,-1.03,-1.4,110.94,-82.94,4.25
-2.72,-1.24,-1.95,107.0,-77.37,9.75
-2.59,-1.42,-2.47,99.56,-72.87,11.0
-3.54,-1.83,-2.92,92.0,-65.75,12.25
-3.76,-2.15,-3.04,87.81,-47.56,14.31
-3.64,-2.36,-3.04,88.75,-24.31,19.62
-2.69,-2.98,-1.42,90.06,-6.37,25.06
-2.3,-3.11,-0.44,91.62,0.13,28.44
-2.2,-3.2,0.47,94.81,-6.25,32.69
-1.9,-2.94,1.12,100.75,-15.75,36.25
-1.73,-2.92,1.91,107.87,-23.62,33.56
-1.87,-2.95,1.6,112.62,-30.19,27.81
-2.2,-3.1,1.11,112.44,-40.19,25.06
-1.7,-3.29,0.46,99.75,-56.44,29.25
-2.12,-1.81,-0.2,91.56,-71.06,24.12
-2.14,-1.49,-0.53,88.19,-88.75,22.75
-1.86,-1.26,-0.6,84.12,-102.69,21.81
-1.86,-1.26,-0.6,81.06,-115.5,18.25
-1.87,-1.02,-0.64,75.87,-127.31,16.0
-2.3,-0.61,-0.71,68.0,-136.94,14.94
-2.61,-0.5,-0.88,57.5,-144.44,17.69
-2.47,-0.28,-0.92,46.38,-148.19,18.0
-2.44,0.54,-1.0,38.38,-154.62,19.12
-2.43,1.06,-0.8,29.75,-164.25,18.75
-2.52,1.4,-0.75,22.87,-173.81,20.5
-2.69,1.53,-0.65,18.12,-181.44,23.94
-3.25,1.79,-0.69,13.0,-182.69,27.25
-3.45,1.75,-0.55,7.44,-180.0,31.69
-3.48,1.82,-0.21,1.44,-175.31,38.38
-3.45,1.83,-0.12,-5.87,-166.56,43.81
-2.91,0.92,0.3,-16.12,-153.94,42.69
-2.69,1.31,1.05,-11.94,-138.44,40.75
-3.22,1.81,1.0,-20.31,-122.69,50.94
-1.66,-0.42,1.46,-26.31,-103.37,50.81
-0.65,-0.53,1.33,-36.19,-90.31,52.25
0.65,-0.73,1.02,-50.69,-86.69,48.06
1.12,-0.36,1.34,-57.19,-98.19,42.25
1.59,0.35,1.0,-57.19,-98.19,42.25
1.38,0.68,1.19,-50.5,-111.56,27.19
1.47,0.62,1.04,-43.81,-103.62,21.5
1.33,0.27,1.08,-41.5,-96.06,15.44
1.31,-0.2,0.95,-45.69,-91.62,10.44
1.36,-0.71,1.21,-45.69,-91.62,10.44
1.63,-0.9,1.51,-54.5,-95.44,6.81
1.01,-1.01,1.68,-68.69,-118.69,1.87
0.78,-1.47,1.98,-72.75,-122.62,4.56
0.58,-1.89,2.12,-75.06,-114.81,8.75
0.58,-2.08,2.32,-75.06,-114.81,8.75
0.97,-2.03,2.44,-77.0,-101.56,8.88
1.3,-2.16,2.4,-72.62,-76.06,7.44
1.73,-2.08,2.57,-67.81,-66.37,1.56
