Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,0.03,-0.03,-0.19,7.19,-4.0
0.08,0.07,-0.05,-0.62,8.19,-3.69
0.09,0.09,-0.07,-0.56,8.69,-3.19
0.21,0.05,-0.07,-0.44,10.5,-2.5
0.48,-0.05,-0.13,0.06,11.69,-1.62
0.32,-0.08,-0.06,-0.06,9.69,-0.37
0.25,-0.06,-0.12,-0.5,7.69,-0.75
0.3,-0.06,-0.12,-0.56,6.5,-0.13
0.19,0.0,0.0,-1.5,6.12,0.62
0.29,-0.01,-0.05,-1.56,5.19,0.62
0.33,-0.02,-0.11,-1.25,5.19,1.69
0.3,0.0,-0.11,-1.25,6.81,1.81
0.21,0.03,-0.09,-1.44,7.94,1.81
0.23,0.0,-0.07,-1.25,8.19,2.06
0.12,0.0,-0.11,-1.31,7.69,2.06
0.02,0.0,-0.1,-1.37,7.19,2.12
0.06,0.03,-0.02,-1.25,7.75,2.81
0.12,0.05,-0.01,-1.62,8.56,3.44
0.23,0.05,-0.02,-1.31,9.69,4.06
0.01,-0.02,0.08,-1.44,11.0,4.25
-0.26,-0.04,-0.04,-1.81,13.06,4.0
-0.06,-0.04,0.18,-1.75,20.81,4.75
0.03,0.0,0.14,-2.19,30.0,6.31
0.47,0.01,0.05,-1.0,34.19,7.62
0.65,-0.03,-0.13,-0.06,35.88,9.25
0.7,-0.03,-0.48,1.25,30.0,9.31
1.04,-0.02,-0.54,1.25,18.25,8.94
0.27,0.05,-0.61,-0.37,-1.62,6.81
-0.03,0.07,-0.5,-0.94,-14.25,5.12
-0.1,0.13,-0.36,-2.5,-14.5,4.0
-0.27,0.18,-0.2,-3.12,-11.88,3.12
-0.41,0.17,-0.17,-2.25,-8.13,2.0
-0.26,0.15,-0.1,-1.37,-1.81,0.62
-0.04,0.14,-0.04,-1.0,4.0,-0.19
0.38,0.08,-0.17,-0.44,6.25,-0.94
0.55,0.05,-0.25,0.13,4.75,-1.81
0.7,0.02,-0.34,0.44,0.0,-2.19
0.84,0.0,-0.3,0.56,-6.12,-2.69
0.66,0.04,-0.19,0.13,-14.44,-3.31
0.49,0.06,-0.1,-0.62,-24.44,-4.19
0.19,0.04,-0.04,-1.56,-34.25,-5.81
0.0,0.09,-0.04,-2.06,-39.06,-6.75
-0.34,0.03,-0.06,-1.94,-37.75,-6.5
-0.5,0.03,-0.12,-1.94,-31.81,-6.81
-0.56,-0.01,-0.13,-1.0,-20.81,-6.75
-0.11,-0.04,-0.07,0.81,-8.31,-5.12
0.14,-0.02,-0.07,1.56,0.37,-3.87
0.33,0.0,-0.08,1.25,2.69,-3.19
0.55,0.0,-0.06,1.06,-0.62,-2.31
0.35,0.08,-0.05,0.62,-10.19,-2.37
0.26,0.11,-0.07,0.31,-21.37,-4.44
0.23,-0.02,-0.02,0.5,-28.5,-5.12
0.13,-0.16,0.0,-0.56,-32.88,-4.06
-0.35,0.05,0.04,-1.81,-34.19,-5.31
-0.46,0.09,0.01,-1.69,-30.56,-5.81
-0.53,0.05,0.03,-0.69,-21.94,-3.69
-0.07,0.0,0.05,-0.06,-11.31,-2.56
0.22,0.0,0.02,0.44,-2.81,-1.12
0.5,-0.02,-0.09,0.69,2.69,0.56
0.68,-0.07,-0.09,1.0,5.37,1.75
0.59,0.01,-0.02,0.56,3.62,1.81
0.42,0.05,0.0,-0.13,-2.44,1.25
0.35,0.0,-0.03,-0.06,-8.0,1.31
0.2,-0.02,-0.07,-0.13,-12.5,2.12
-0.01,0.03,-0.08,0.0,-14.5,2.81
-0.05,0.02,-0.13,-0.13,-13.56,3.31
-0.05,0.02,-0.19,0.37,-12.13,3.94
-0.01,0.08,-0.27,1.19,-9.88,4.44
0.03,0.08,-0.35,1.56,-7.5,4.94
0.06,0.1,-0.38,1.94,-4.5,5.37
0.07,0.09,-0.37,1.75,-2.12,4.75
0.08,0.11,-0.37,1.94,-1.62,3.5
0.01,0.1,-0.38,2.0,-1.87,2.5
0.03,0.1,-0.39,2.0,-1.56,1.75
0.03,0.07,-0.34,1.87,-0.5,1.19
0.03,0.1,-0.18,1.56,0.06,0.31
-0.01,0.09,-0.14,1.69,0.19,-0.62
0.0,0.05,-0.07,1.75,-0.25,-0.88
-0.04,0.02,-0.04,2.0,-0.44,-1.37
0.08,0.0,0.0,2.37,0.06,-1.44
0.13,0.01,-0.01,2.31,1.06,-1.12
0.14,0.01,-0.07,2.31,0.94,-1.5
0.13,0.0,-0.09,2.56,-0.31,-1.75
0.13,0.03,-0.06,2.5,-1.12,-1.62
0.16,0.02,-0.04,2.06,-1.12,-1.69
0.22,0.0,-0.02,1.94,-1.06,-1.37
0.22,0.0,-0.03,1.56,-1.31,-0.69
0.26,0.02,-0.01,1.25,-1.69,-0.56
0.29,0.02,-0.01,1.06,-1.62,-0.56
0.29,0.02,-0.01,1.12,-1.94,-0.31
0.31,0.01,0.01,1.0,-2.31,-0.06
0.18,0.02,-0.07,1.19,-2.06,0.75
0.14,0.04,-0.08,1.06,-1.37,1.12
0.14,0.01,-0.09,1.12,-0.69,1.37
0.14,0.01,-0.09,1.12,0.06,1.62
0.17,0.04,-0.06,0.75,0.19,1.31
0.12,0.05,-0.16,0.75,-0.62,1.06
0.12,0.05,-0.16,1.0,-1.5,0.88
0.13,0.02,-0.26,1.06,-1.56,0.56
0.19,0.02,-0.27,1.0,-1.62,1.06
0.29,0.02,-0.27,1.25,-2.37,1.19
