Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.47,0.71,-0.42,58.94,-8.56,-1.12
1.31,0.67,-0.36,58.81,-9.25,-4.37
1.1,0.56,-0.28,58.44,-9.0,-6.12
0.82,0.38,0.02,57.31,-5.12,-6.56
0.78,0.23,0.18,55.88,-1.31,-6.44
0.65,0.15,0.33,54.69,0.19,-5.69
0.57,0.07,0.51,54.56,2.06,-4.12
0.3,-0.27,0.64,53.94,4.81,-2.87
0.22,-0.24,0.73,53.69,6.81,-2.31
0.13,-0.17,0.89,55.13,7.62,-2.0
-0.09,-0.23,0.8,57.06,7.56,-0.81
-0.37,-0.5,0.54,57.38,9.25,1.31
-0.21,-0.5,0.58,57.13,8.56,2.94
-0.12,-0.53,0.59,57.06,3.87,4.25
-0.27,-0.62,0.52,55.63,-3.25,4.0
-0.59,-0.63,0.38,54.0,-9.44,4.56
-0.84,-0.54,0.34,52.69,-12.94,6.25
-0.92,-0.44,0.3,51.56,-13.81,7.12
-0.77,-0.02,0.2,50.88,-13.25,7.56
-0.67,0.2,0.27,52.5,-12.94,7.5
-0.37,0.25,0.4,55.56,-13.38,8.06
-0.17,0.24,0.64,59.75,-14.69,9.0
0.35,0.17,1.05,64.25,-15.19,8.88
0.71,0.01,1.24,68.69,-14.25,7.56
1.2,-0.18,1.29,72.69,-15.94,4.94
1.57,-0.66,0.93,75.5,-22.5,1.19
1.27,-0.74,0.53,78.31,-33.5,-2.75
0.83,-0.8,0.13,80.94,-41.13,-6.69
0.47,-0.91,-0.2,82.19,-41.38,-10.38
-0.47,-1.04,-0.3,82.81,-40.19,-13.38
-0.83,-1.2,-0.3,83.81,-38.38,-14.25
-1.13,-1.37,-0.25,85.31,-34.13,-14.19
-1.23,-1.4,-0.23,86.31,-28.06,-13.25
-1.13,-1.19,-0.51,87.37,-21.75,-12.19
-1.03,-1.12,-0.58,88.81,-17.56,-11.13
-0.92,-1.21,-0.71,89.75,-15.44,-10.63
-0.83,-1.33,-0.81,89.94,-14.94,-10.13
-0.86,-1.4,-0.86,90.31,-14.81,-8.63
-0.83,-1.45,-0.85,89.62,-13.25,-5.75
-0.78,-1.43,-0.67,88.31,-10.13,-2.69
-0.24,-1.33,-0.49,87.44,-6.37,0.19
0.05,-1.3,-0.44,86.12,-2.0,2.87
0.44,-1.16,-0.41,84.75,0.44,4.69
0.71,-1.0,-0.33,83.69,0.19,5.81
1.02,-0.97,0.07,83.62,-0.44,6.56
1.03,-0.82,0.2,83.56,-0.56,6.44
0.94,-0.69,0.28,83.5,-1.75,6.5
0.91,-0.55,0.34,83.75,-5.56,6.5
0.66,-0.4,0.41,83.62,-11.06,5.81
0.46,-0.37,0.45,83.69,-16.87,4.87
0.28,-0.4,0.45,83.25,-21.69,4.25
-0.01,-0.74,0.34,82.87,-26.06,3.75
-0.14,-0.77,0.34,81.19,-28.62,3.62
-0.39,-0.74,0.41,79.81,-29.37,3.94
-0.52,-0.57,0.57,78.62,-29.31,5.81
-1.03,-0.02,0.74,77.75,-26.69,6.62
-1.18,0.25,0.91,76.81,-20.62,6.31
-1.23,0.39,1.16,76.31,-14.44,6.56
-1.27,0.59,1.24,76.62,-10.06,6.56
-1.46,0.76,1.18,76.87,-5.75,6.31
-1.52,0.81,1.04,77.06,-1.19,6.0
-1.52,0.82,0.94,77.0,2.12,5.37
-1.62,0.82,0.79,77.25,4.94,4.94
-1.64,0.38,0.54,76.81,8.19,7.06
-1.64,0.28,0.52,73.69,11.94,5.31
-1.75,0.08,0.42,70.37,15.88,4.62
-1.67,-0.36,0.42,66.69,22.31,7.0
-1.42,-0.48,0.42,62.81,31.69,10.75
-1.08,-0.55,0.36,58.75,41.5,12.88
-0.71,-0.69,0.34,55.19,51.25,15.88
0.01,-0.55,0.8,51.25,56.13,18.06
-0.92,-0.17,0.28,48.25,57.06,22.44
-0.78,-0.19,0.32,44.38,63.5,27.62
0.08,-0.03,0.8,39.38,70.5,30.62
1.12,0.47,1.4,37.06,70.0,30.81
1.37,0.5,1.31,36.63,64.75,30.56
1.33,0.82,1.38,35.06,58.81,27.69
1.63,0.91,1.49,36.06,49.0,28.81
1.19,1.1,1.03,35.06,37.06,28.94
0.7,1.38,0.75,33.0,27.75,27.12
0.58,1.58,0.55,31.44,22.62,27.06
1.13,1.61,0.87,28.87,16.37,26.94
1.37,1.51,1.15,27.06,6.0,24.31
1.36,1.45,1.18,25.75,-8.44,22.19
1.36,1.45,1.18,24.44,-23.25,22.0
1.11,1.5,1.26,24.06,-35.06,23.87
0.44,1.71,1.2,24.0,-42.56,26.56
0.26,1.72,1.39,25.25,-46.81,29.0
0.11,1.67,1.62,27.06,-47.31,31.12
0.02,1.51,1.92,30.31,-45.13,33.38
-0.1,1.21,2.49,36.06,-39.88,36.25
-0.16,1.07,2.59,42.81,-32.0,36.88
0.0,0.84,2.5,42.75,-30.62,31.69
1.66,0.25,3.08,49.0,-33.88,25.06
1.02,0.23,2.65,56.56,-40.63,20.87
0.77,0.2,2.28,61.06,-44.0,15.0
0.49,0.25,1.77,62.44,-48.44,9.13
0.68,0.35,0.09,61.75,-54.0,4.06
0.64,0.59,-0.42,62.0,-57.25,0.94
0.52,0.88,-0.77,61.75,-56.38,-1.0
0.47,1.08,-0.65,61.0,-52.13,0.5
