Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-3.53,-3.31,2.67,-2.12,-29.62,-6.81
-3.39,-3.32,2.51,-2.94,-23.75,10.31
-3.31,-3.22,2.36,-5.25,-16.19,26.37
-3.23,-2.9,2.18,-8.38,-8.81,41.44
-3.16,-2.16,1.81,-8.38,-2.75,55.06
-2.97,-2.08,1.63,-5.94,2.44,66.94
-2.74,-2.26,1.44,-3.44,6.62,77.37
-2.32,-3.25,1.15,-0.13,10.25,85.69
-2.0,-3.74,1.05,2.5,12.56,93.81
-1.61,-4.1,1.06,4.12,13.44,102.56
-1.27,-4.27,1.12,4.81,12.13,110.31
-1.24,-3.79,1.31,4.44,10.0,116.06
-1.33,-3.31,1.33,3.25,9.56,120.25
-1.35,-2.88,1.38,2.06,12.19,123.19
-1.25,-2.74,1.36,1.87,17.06,125.31
-0.92,-3.07,1.07,3.56,22.25,125.31
-0.8,-3.18,0.78,5.44,24.44,122.69
-0.73,-3.27,0.54,6.62,25.0,121.0
-0.32,-3.65,0.06,8.25,24.25,121.81
-0.03,-3.85,-0.15,11.5,22.25,122.87
0.2,-4.23,-0.35,16.94,18.56,122.0
0.45,-4.74,-0.52,22.06,15.69,120.31
0.72,-5.3,-0.47,25.44,14.81,117.25
0.72,-5.27,-0.42,27.62,16.25,113.0
0.68,-5.17,-0.23,27.75,20.87,107.37
0.69,-5.21,-0.03,23.75,27.37,102.75
0.1,-4.42,0.26,14.94,35.13,96.94
-0.08,-3.46,0.53,5.81,45.25,86.81
-0.24,-2.54,0.67,-0.31,55.81,75.31
-0.34,-1.51,0.73,-1.44,64.81,66.0
-0.29,0.11,0.88,1.94,72.19,59.5
-0.34,0.68,0.78,6.5,75.37,55.25
-0.32,1.3,0.75,10.13,76.12,51.31
-0.23,2.25,0.69,12.69,75.94,48.5
-0.16,2.69,0.73,15.06,75.56,47.13
-0.1,3.09,0.79,16.44,73.94,46.0
-0.11,3.45,0.88,17.44,71.44,45.19
-0.1,3.81,1.11,18.81,68.19,44.31
-0.08,4.03,1.18,20.06,64.06,43.38
-0.07,4.19,1.27,20.5,59.06,43.0
0.0,4.44,1.32,21.0,53.75,43.13
0.29,4.35,1.24,22.94,48.44,42.25
-0.14,4.76,1.27,20.81,43.81,37.81
-0.04,4.97,1.13,20.0,37.06,36.44
0.01,4.93,0.94,24.87,30.5,40.69
0.09,4.96,0.69,28.06,22.94,44.13
0.12,4.97,0.52,27.12,15.31,48.25
0.31,4.77,0.36,27.69,11.13,53.06
0.66,4.34,0.28,29.06,6.12,53.75
0.66,4.16,0.2,30.12,0.75,52.94
0.8,4.03,0.14,30.06,-3.69,52.13
0.97,3.81,-0.02,28.69,-7.44,52.63
1.3,3.11,-0.1,27.37,-9.69,53.88
1.51,2.71,-0.17,27.69,-13.31,55.06
1.73,2.09,-0.35,28.87,-17.37,55.75
2.04,0.3,-0.89,28.87,-21.25,57.44
2.41,-0.42,-1.04,29.75,-21.25,61.63
2.62,-1.13,-1.17,27.62,-20.62,63.38
2.85,-1.94,-1.33,25.81,-17.06,65.12
3.27,-3.4,-1.33,24.12,-11.44,65.19
3.52,-4.02,-1.36,21.19,-4.62,65.12
3.61,-4.38,-1.36,16.19,3.25,64.06
3.91,-4.16,-1.43,8.81,12.25,61.06
3.68,-2.67,-1.55,2.44,22.31,51.63
3.61,-1.84,-1.7,-1.69,33.25,43.06
3.39,-1.04,-1.84,-3.56,44.88,36.94
3.5,-0.4,-1.84,-3.75,55.0,30.62
3.59,0.35,-2.03,-1.06,59.69,21.12
3.82,0.13,-2.31,5.62,58.13,9.5
4.27,-0.77,-2.66,15.13,49.44,0.5
5.14,-3.21,-3.78,22.94,35.13,-5.94
5.22,-3.88,-3.93,21.56,17.62,-10.81
5.99,-3.83,-3.65,12.44,2.44,-10.31
6.48,-3.48,-3.04,5.69,-14.38,-11.56
5.92,-2.23,-1.84,4.37,-38.25,-20.81
5.21,-1.65,-1.22,3.31,-61.75,-30.69
4.52,-1.23,-0.67,3.69,-77.12,-38.0
3.65,-0.78,-0.23,5.75,-84.56,-47.81
1.92,-0.27,-0.21,7.12,-85.5,-61.38
1.34,-0.15,-0.18,5.25,-81.12,-71.75
1.01,0.02,-0.53,1.81,-74.75,-79.87
0.81,-0.8,-0.87,0.69,-68.94,-88.19
0.97,-1.35,-1.12,2.37,-65.12,-96.06
0.92,-1.76,-1.37,5.06,-66.12,-106.81
0.87,-2.02,-1.4,7.5,-67.62,-115.44
1.03,-2.42,-1.34,8.31,-69.19,-118.12
0.7,-2.82,-1.43,7.69,-69.69,-112.31
0.44,-3.55,-0.95,2.44,-61.19,-99.5
1.54,-4.08,0.14,-13.19,-44.31,-85.44
1.51,-3.94,0.62,-18.5,-44.75,-96.81
0.26,-2.42,0.54,-22.94,-54.38,-119.0
0.26,-2.42,0.54,-24.37,-61.13,-128.25
-0.67,-1.87,0.74,-32.63,-53.94,-111.06
-1.26,-1.34,0.77,-44.69,-41.69,-99.62
-0.49,-1.27,1.24,-58.69,-20.69,-88.94
-0.32,-0.9,1.5,-63.19,-12.38,-92.62
-0.32,-0.9,1.5,-54.81,-17.87,-104.44
-1.88,0.44,1.45,-42.13,-30.19,-119.87
-2.42,0.48,1.46,-33.06,-36.75,-125.5
-2.63,0.47,1.7,-32.5,-33.69,-122.37
-2.51,0.67,2.32,-35.63,-26.37,-119.44
