Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.26,0.0,0.19,4.75,-1.87,5.0
-0.2,-0.02,0.12,4.0,0.13,4.62
-0.08,0.08,0.08,3.62,1.81,4.69
0.0,0.08,0.09,3.31,2.94,4.87
0.08,0.05,0.07,3.0,3.44,4.94
0.15,0.08,0.07,3.0,2.87,5.0
0.22,0.13,0.05,3.19,1.81,5.31
0.24,0.11,0.04,3.25,0.75,5.19
0.18,0.11,0.04,3.75,-0.44,4.87
0.14,0.07,0.03,3.75,-0.44,4.87
0.07,0.1,0.02,4.31,-0.81,4.69
0.07,0.08,0.07,4.5,-0.69,4.75
0.09,0.07,0.05,4.62,-0.44,4.94
0.08,0.05,0.12,4.81,-0.5,4.56
0.08,0.06,0.15,4.94,-0.44,4.37
0.06,0.07,0.15,4.94,-0.44,4.37
0.11,0.05,0.11,4.69,-0.69,4.0
0.07,0.05,0.12,4.44,-1.75,3.62
0.08,0.07,0.16,4.31,-2.12,3.0
0.09,0.05,0.14,4.31,-2.12,3.0
0.11,0.06,0.12,4.12,-1.81,2.69
0.1,0.08,0.15,3.25,-2.37,2.06
0.07,0.11,0.12,2.87,-2.56,1.87
0.08,0.11,0.16,3.12,-3.0,1.5
0.12,0.07,0.18,3.12,-3.0,1.5
0.09,0.09,0.13,2.87,-3.31,1.19
0.1,0.08,0.12,3.06,-3.44,0.62
0.14,0.04,0.08,2.81,-3.81,0.62
0.19,0.06,0.1,2.44,-4.81,0.56
0.12,0.11,0.12,2.44,-4.81,0.56
0.11,0.09,0.11,2.69,-7.06,0.0
0.09,0.06,0.12,2.75,-7.31,-0.56
0.05,0.0,0.1,2.56,-6.87,-0.81
0.01,0.05,0.13,2.06,-6.0,-0.62
0.03,0.07,0.15,2.06,-6.0,-0.62
0.07,0.09,0.13,1.62,-4.87,-0.81
0.1,0.06,0.08,1.94,-2.0,-1.0
0.14,0.07,0.09,1.62,-0.56,-0.56
0.27,0.07,0.01,1.69,1.31,-0.44
0.36,0.03,-0.01,1.69,1.31,-0.44
0.37,0.06,-0.05,1.75,2.12,-0.19
0.39,0.09,-0.08,1.94,1.94,0.31
0.38,0.08,-0.11,2.12,1.81,0.88
0.41,0.04,-0.05,2.12,1.06,1.37
0.3,0.1,-0.13,2.12,1.06,1.37
0.22,0.19,-0.1,2.62,-0.25,1.37
0.44,-0.06,-0.03,3.37,-0.19,1.44
0.32,0.05,-0.04,3.69,-0.31,2.19
0.22,0.13,0.02,3.06,-2.37,2.69
0.17,0.1,0.05,2.87,-4.37,2.75
0.11,0.05,0.01,3.75,-6.5,2.44
0.05,0.07,-0.02,3.75,-6.5,2.44
0.08,0.09,-0.02,3.69,-7.31,2.69
0.14,0.02,-0.07,3.69,-6.87,3.0
0.08,0.03,0.0,3.69,-6.87,3.0
0.09,0.03,0.03,3.44,-7.31,3.62
0.1,0.03,0.04,3.44,-7.31,3.62
0.06,0.03,0.02,3.37,-6.94,3.56
0.02,0.04,0.12,3.06,-5.56,3.5
0.0,0.03,0.14,2.69,-4.25,3.56
-0.01,0.06,0.19,2.5,-2.62,3.69
0.0,0.04,0.17,2.19,-0.75,3.62
0.02,0.07,0.14,1.94,1.25,3.56
0.12,0.06,0.14,1.62,3.37,3.94
0.18,0.02,0.12,1.25,4.31,4.06
0.14,0.04,0.11,0.94,4.56,4.19
0.12,0.06,0.15,0.31,4.56,4.25
0.11,0.08,0.11,-0.13,4.81,4.31
0.14,0.02,0.1,-0.5,5.12,4.31
0.1,0.06,0.09,-0.69,4.56,4.37
0.09,0.06,0.09,-0.88,4.0,4.37
0.05,0.1,0.06,-1.0,3.56,4.31
0.02,0.09,0.02,-1.25,3.19,4.12
0.01,0.09,0.03,-0.88,3.0,3.81
0.02,0.07,0.04,-0.75,2.81,3.25
0.0,0.07,0.02,-0.5,2.37,2.94
-0.01,0.06,-0.01,-0.37,2.31,2.5
0.0,0.06,0.02,-0.5,2.25,2.44
0.02,0.06,0.06,-0.75,1.62,2.56
0.03,0.07,0.1,-0.62,0.94,2.37
0.1,0.04,0.07,-0.19,0.44,2.0
0.1,0.02,0.04,-0.31,-0.37,2.0
0.15,0.0,0.01,-0.56,-1.06,2.19
0.14,0.02,0.07,-0.69,-1.87,1.94
0.14,0.02,0.07,-0.56,-1.81,1.62
0.16,0.06,0.08,-0.69,-1.56,2.0
0.2,0.02,0.06,-0.69,-1.5,2.44
0.23,0.04,0.02,-0.56,-1.56,2.37
0.19,0.06,0.01,-0.37,-2.06,2.44
0.19,0.06,0.01,-0.25,-2.31,2.81
0.2,0.08,0.0,-0.25,-2.06,2.75
0.18,0.05,0.0,-0.06,-1.37,3.06
0.15,0.09,-0.05,-0.25,-1.0,3.06
0.11,0.1,-0.03,-0.5,-0.75,3.12
0.15,0.1,-0.03,-0.75,-0.13,2.94
0.15,0.09,-0.05,-0.88,-0.25,2.75
0.16,0.11,-0.08,-0.69,-0.81,3.0
0.16,0.12,-0.09,-0.62,-0.88,3.06
0.14,0.11,-0.09,-0.06,-0.88,2.87
0.09,0.11,-0.11,0.5,-1.0,2.75
0.13,0.08,-0.07,0.69,-0.88,2.87
