Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-3.37,-1.69,1.92,-2.69,-5.25,23.75
-3.36,-1.85,1.89,-2.69,-5.25,23.75
-3.43,-2.29,1.93,-1.81,2.06,29.94
-3.43,-2.84,1.91,1.56,17.0,43.56
-3.23,-3.8,1.98,0.75,23.25,51.63
-3.1,-3.95,2.03,-1.81,27.75,59.25
-3.03,-3.9,2.02,-1.81,27.75,59.25
-3.0,-3.55,2.04,-7.19,35.94,71.75
-2.83,-3.25,1.92,-7.19,35.94,71.75
-2.65,-2.85,1.8,-8.56,41.63,76.69
-2.47,-2.28,1.53,-9.38,46.44,80.56
-2.46,-1.09,0.88,-9.38,49.06,82.69
-2.5,-0.58,0.57,-7.12,52.19,81.31
-2.43,-0.18,0.25,-7.12,52.19,81.31
-2.32,0.15,0.01,-4.5,54.06,77.12
-2.39,0.5,-0.36,-2.87,54.31,71.5
-2.46,0.55,-0.32,-0.81,49.38,64.06
-2.52,0.56,-0.19,-0.69,47.44,61.13
-2.61,0.45,0.0,-0.69,47.44,61.13
-2.76,-0.09,0.51,0.13,45.63,55.81
-2.77,-0.35,0.77,-0.62,45.06,53.81
-2.76,-0.54,0.99,-2.87,45.56,52.56
-2.82,-0.7,1.46,-6.5,47.13,52.63
-2.73,-0.74,1.5,-10.19,49.75,53.94
-2.64,-0.74,1.44,-14.88,53.44,56.0
-2.48,-0.68,1.32,-20.62,58.31,58.5
-2.29,-0.17,1.1,-25.37,64.37,61.69
-2.2,0.13,0.88,-27.44,70.5,64.75
-2.04,0.41,0.69,-27.75,77.44,66.81
-2.26,0.47,0.42,-28.19,85.06,69.25
-1.62,1.63,0.81,-27.56,91.12,62.13
-1.79,1.2,0.27,-19.25,90.56,62.81
-1.79,1.02,0.29,-22.87,102.75,67.75
-0.89,1.75,0.02,-26.62,120.19,66.06
0.09,1.72,0.11,-24.31,126.19,60.13
0.93,1.27,0.46,-22.12,114.5,56.63
1.02,1.29,0.45,-25.19,91.44,56.81
0.53,2.13,0.36,-26.69,68.69,61.75
0.4,2.41,0.67,-20.19,51.13,67.69
0.0,2.34,0.57,-10.69,40.88,70.25
-0.1,2.24,0.46,-6.69,38.69,70.56
0.27,2.12,0.88,-3.31,37.25,70.56
0.49,2.21,0.96,-0.06,34.31,69.19
0.73,2.22,0.89,2.5,31.81,67.25
1.39,1.95,0.54,3.75,29.37,65.69
1.3,1.9,0.66,5.12,25.31,61.56
1.43,1.71,0.24,9.56,20.31,61.69
1.59,1.47,0.17,9.75,18.69,63.0
1.85,1.26,0.3,9.69,15.44,61.38
1.93,1.25,0.26,10.81,11.5,57.31
2.02,1.28,0.3,11.31,9.19,53.75
2.12,1.32,0.37,11.13,6.69,50.81
2.23,1.4,0.31,12.31,3.31,47.06
2.26,1.39,0.2,14.19,1.0,42.5
2.34,1.26,0.1,15.5,0.44,39.13
2.4,1.1,0.1,16.5,0.25,36.44
2.46,0.79,-0.07,18.44,-0.5,34.5
2.36,0.6,-0.3,20.62,-0.37,33.44
2.61,0.38,-0.57,20.56,2.94,32.63
2.82,0.38,-0.52,19.87,7.12,27.25
2.84,0.43,-0.46,19.37,10.19,21.69
2.8,0.47,-0.29,17.81,13.69,17.56
2.89,0.66,-0.09,16.75,15.75,12.19
2.67,1.11,0.19,17.56,15.69,6.31
2.64,1.04,0.26,18.87,15.13,0.69
2.16,0.83,0.28,20.69,16.69,-3.75
2.28,0.12,0.27,24.0,20.06,-5.37
2.88,-2.02,-0.06,28.0,20.62,-7.56
3.21,-3.14,-0.38,29.81,15.63,-5.25
3.48,-3.96,-0.67,28.81,9.31,0.81
4.18,-4.6,-0.82,25.06,3.37,6.25
4.24,-4.11,-0.66,19.69,-3.44,8.38
4.05,-3.31,-0.51,15.0,-11.94,8.13
3.81,-2.41,-0.27,10.63,-19.56,2.69
2.75,-0.41,0.07,5.62,-24.69,-7.75
2.2,0.57,0.29,1.19,-28.0,-20.37
1.5,1.45,0.4,0.13,-31.31,-34.13
1.0,1.97,0.42,4.62,-36.63,-47.94
0.34,2.05,-0.08,12.25,-44.19,-60.94
0.22,1.71,-0.31,18.31,-52.19,-71.69
0.1,1.43,-0.44,20.69,-61.94,-80.37
0.11,1.22,-0.46,21.5,-74.5,-87.37
0.28,1.0,-0.67,22.37,-88.0,-91.81
0.22,0.8,-0.55,21.69,-99.31,-91.69
0.17,0.54,-0.38,19.44,-107.0,-88.94
0.28,0.27,-0.17,17.44,-112.5,-89.0
0.11,0.23,-0.17,17.44,-115.44,-90.69
-0.2,0.0,0.01,16.31,-115.19,-88.81
-0.22,-0.75,0.52,11.13,-113.75,-83.44
-1.23,-0.79,0.52,7.19,-118.12,-83.44
-1.51,-1.04,0.67,2.0,-115.81,-81.25
-1.61,-1.06,0.85,-3.62,-109.37,-79.5
-1.92,-1.15,0.96,-7.69,-99.69,-79.37
-1.79,-0.91,1.25,-12.38,-89.62,-79.12
-1.92,-0.95,1.27,-14.88,-81.44,-80.31
-2.17,-1.14,1.28,-17.69,-72.75,-81.5
-2.24,-0.91,1.43,-21.31,-63.5,-80.75
-2.23,-0.66,1.71,-25.56,-54.56,-81.25
-2.33,-0.53,1.84,-26.37,-48.06,-84.44
-2.6,-0.56,1.85,-27.25,-43.0,-86.0
-2.86,-0.29,1.96,-29.19,-36.56,-85.87
