Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.95,-0.71,-1.75,-7.62,-27.31,15.5
2.47,-0.72,-1.88,-0.94,-40.63,11.75
2.66,-0.97,-2.26,5.37,-47.94,9.19
2.58,-1.33,-2.37,9.25,-46.31,9.31
2.45,-1.66,-2.3,9.25,-46.31,9.31
2.0,-2.04,-1.66,10.94,-38.38,11.13
1.68,-2.2,-1.39,12.38,-18.44,16.94
1.37,-2.33,-1.26,12.38,-11.13,20.0
1.04,-2.41,-1.03,12.06,-5.87,23.75
0.34,-2.29,-0.47,12.06,-5.87,23.75
-0.01,-2.17,-0.11,12.31,-3.06,27.44
-0.32,-2.03,0.18,14.63,-3.12,33.44
-0.54,-1.92,0.42,16.06,-4.44,35.94
-0.75,-1.74,0.89,17.81,-6.06,38.06
-0.88,-1.65,1.08,17.81,-6.06,38.06
-0.94,-1.62,1.31,19.5,-7.69,39.81
-1.01,-1.44,1.64,20.87,-9.56,42.5
-0.98,-1.33,1.69,20.12,-9.88,43.38
-0.98,-1.13,1.82,18.56,-10.31,44.19
-1.05,-0.9,1.9,18.56,-10.31,44.19
-0.83,-0.55,1.98,15.5,-9.19,44.0
-0.58,-0.34,1.97,7.81,-3.87,42.0
-0.3,-0.27,1.88,3.81,-2.56,38.81
-0.11,-0.27,1.82,0.06,-2.12,34.88
0.02,-0.29,1.87,0.06,-2.12,34.88
0.12,-0.34,1.92,-4.19,-0.81,30.25
0.27,-0.4,2.1,-12.56,2.94,19.69
0.31,-0.43,2.19,-15.88,3.94,13.31
-0.03,-0.4,2.18,-18.56,5.06,7.44
0.01,-0.41,2.06,-18.56,5.06,7.44
0.2,-0.45,2.02,-20.0,5.62,2.25
0.32,-0.28,1.69,-20.19,4.19,-2.69
0.37,-0.18,1.49,-19.31,0.0,-7.37
0.43,-0.1,1.31,-17.37,-5.69,-11.38
0.48,0.02,1.05,-14.94,-11.44,-14.56
0.6,0.28,0.53,-12.06,-16.62,-16.19
0.64,0.34,0.25,-9.19,-20.75,-17.0
0.75,0.36,0.02,-6.12,-23.75,-16.56
0.9,0.41,-0.23,-3.81,-24.69,-14.94
0.97,0.37,-0.71,-1.81,-22.56,-12.75
1.03,0.25,-0.88,-0.25,-18.62,-10.31
1.08,0.11,-1.04,0.69,-13.44,-7.69
0.85,0.0,-1.08,0.25,-7.19,-4.81
0.72,-0.01,-1.1,-1.37,0.37,-3.44
0.5,-0.03,-1.11,-4.25,8.13,-2.69
0.14,0.09,-1.09,-7.5,13.38,-2.56
-0.27,1.23,-0.6,-11.06,15.81,-3.37
-0.02,2.13,-0.59,-13.81,17.87,-4.0
0.56,2.86,-0.95,-14.5,19.69,-3.62
1.3,3.22,-1.64,-12.5,14.44,-0.69
2.68,2.84,-3.11,-7.44,-0.56,4.94
2.93,2.48,-3.45,-1.31,-20.19,10.75
2.77,2.09,-3.37,2.87,-35.13,15.44
2.38,1.74,-2.96,2.94,-36.19,17.37
1.84,1.09,-2.03,-1.75,-21.5,16.19
2.03,0.88,-1.7,-11.13,4.81,12.63
2.2,0.68,-1.36,-20.19,28.44,9.5
2.31,0.6,-0.46,-24.44,41.56,5.94
2.39,0.76,-0.03,-24.87,46.63,2.0
2.67,0.99,0.34,-23.06,48.25,-0.94
3.2,1.18,0.52,-18.31,47.31,-1.81
4.32,1.09,0.33,-10.38,42.25,-1.0
4.68,0.79,0.08,0.37,33.13,0.06
4.84,0.39,0.01,12.31,23.25,1.06
4.69,0.07,0.12,23.5,16.62,1.37
4.09,-0.52,0.62,33.06,14.88,0.81
3.75,-0.87,0.87,40.06,19.25,-1.5
3.44,-1.24,1.0,44.94,27.87,-4.62
2.92,-1.93,1.01,48.63,36.0,-7.56
2.56,-2.26,0.85,51.75,39.44,-10.63
2.1,-2.49,0.77,54.31,38.69,-14.56
1.59,-2.64,0.76,55.31,36.38,-17.5
1.06,-2.9,0.6,55.81,32.69,-19.75
0.88,-3.04,0.62,55.56,26.94,-21.5
0.69,-3.17,0.69,55.19,21.06,-22.69
0.54,-3.23,0.87,53.63,15.63,-24.12
0.06,-3.24,1.26,51.13,12.31,-24.87
-0.11,-3.23,1.4,47.69,12.25,-25.12
-0.15,-3.27,1.55,43.94,14.5,-24.56
-0.26,-3.11,1.66,39.38,17.5,-22.81
-0.24,-2.94,1.59,35.0,20.12,-20.69
-0.02,-2.88,1.65,31.06,22.5,-18.62
0.05,-2.75,1.86,28.37,22.44,-15.88
0.14,-2.56,1.97,27.12,20.0,-13.38
0.19,-2.51,2.12,25.94,16.81,-11.0
0.17,-2.34,2.23,24.87,14.44,-8.75
0.21,-2.18,2.28,24.06,11.88,-6.75
0.47,-1.92,2.22,23.69,8.38,-4.94
0.63,-1.74,1.99,22.81,3.37,-3.12
0.99,-1.6,1.62,22.44,-2.94,-1.44
1.47,-1.48,1.28,22.19,-9.63,0.25
1.9,-1.17,0.95,22.0,-17.19,2.87
2.05,-1.07,0.77,21.56,-24.56,6.37
2.33,-0.97,0.56,20.37,-29.06,10.63
2.64,-0.94,0.24,19.06,-30.19,16.06
2.8,-0.83,0.06,17.31,-28.12,21.5
3.14,-0.75,-0.18,14.31,-22.44,27.25
3.51,-0.68,-0.48,11.13,-14.81,32.94
3.51,-0.65,-0.85,8.06,-7.94,37.81
3.35,-0.66,-0.98,5.25,-1.87,41.69
3.24,-0.67,-0.98,2.06,5.0,44.69
