Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.09,0.06,0.0,3.12,-5.94,2.37
0.01,0.01,-0.04,3.94,-6.37,2.69
-0.01,-0.01,0.01,3.87,-6.12,2.31
0.01,-0.04,-0.01,3.37,-6.19,2.06
-0.05,-0.01,-0.04,3.37,-6.19,2.06
-0.21,-0.01,0.0,2.81,-5.31,1.62
-0.25,-0.05,-0.06,0.81,-1.0,0.0
-0.23,-0.01,-0.05,-0.75,1.44,-1.12
-0.21,0.05,-0.03,-2.0,3.5,-2.0
-0.19,0.08,-0.03,-2.0,3.5,-2.0
-0.11,0.14,-0.03,-3.25,5.31,-2.56
-0.07,0.14,0.0,-5.06,8.44,-3.19
-0.02,0.2,-0.03,-5.25,8.94,-3.19
0.06,0.21,0.01,-4.94,8.56,-2.94
0.2,0.24,0.04,-4.94,8.56,-2.94
0.26,0.25,0.05,-4.25,7.31,-2.25
0.29,0.22,0.06,-1.94,2.44,-0.69
0.31,0.22,0.06,-0.62,-0.5,0.25
0.32,0.19,0.07,1.19,-3.31,1.37
0.3,0.18,0.08,1.19,-3.31,1.37
0.25,0.09,0.01,2.69,-5.81,2.12
0.06,0.11,0.0,5.0,-8.13,3.0
0.0,0.15,-0.03,7.19,-7.87,3.56
-0.09,-0.15,0.02,6.12,-7.37,3.12
-0.15,-0.24,-0.03,6.12,-7.37,3.12
-0.22,0.01,-0.05,3.44,-6.19,1.75
-0.22,0.07,-0.06,1.87,-4.25,0.75
-0.25,0.01,-0.04,1.87,-1.75,0.25
-0.26,-0.08,-0.03,0.75,0.69,-0.44
-0.23,0.02,-0.06,-1.31,3.19,-1.81
-0.16,0.13,-0.03,-3.31,5.62,-3.06
-0.1,0.17,-0.06,-4.37,7.44,-3.37
-0.03,0.14,-0.02,-4.56,8.94,-3.62
0.08,0.2,-0.01,-5.19,9.81,-3.56
0.15,0.25,0.03,-5.5,9.69,-3.56
0.21,0.26,0.03,-5.0,8.75,-2.81
0.29,0.23,0.01,-3.81,6.75,-1.87
0.3,0.18,0.04,-2.37,4.19,-1.0
0.31,0.17,0.04,-1.44,1.87,-0.19
0.31,0.17,0.02,-0.44,-0.94,0.5
0.26,0.12,0.01,1.0,-3.5,1.31
0.2,0.04,0.01,2.62,-5.56,2.0
0.15,0.0,0.0,3.31,-7.19,2.5
0.1,-0.01,-0.03,3.94,-8.25,2.56
-0.02,-0.03,0.02,3.75,-8.63,2.5
-0.14,-0.01,0.04,3.69,-8.31,2.31
-0.2,-0.03,-0.02,3.75,-7.69,1.75
-0.25,-0.09,-0.06,3.12,-5.62,1.25
-0.33,-0.05,-0.02,2.0,-3.19,0.44
-0.36,-0.02,-0.06,0.44,-0.44,-0.44
-0.33,0.0,-0.04,-1.06,2.44,-1.5
-0.22,0.04,-0.02,-2.62,5.37,-2.56
-0.14,0.09,-0.05,-4.12,8.25,-3.5
-0.06,0.14,-0.03,-5.37,10.0,-3.75
0.02,0.2,0.0,-6.0,10.88,-3.87
0.21,0.22,0.0,-6.31,10.5,-3.75
0.23,0.23,0.01,-6.06,9.31,-3.25
0.25,0.27,0.05,-5.19,7.69,-2.75
0.35,0.26,0.04,-3.94,4.81,-1.81
0.35,0.23,0.04,-2.19,1.94,-0.88
0.37,0.2,0.07,-0.56,-0.94,0.31
0.3,0.16,0.02,1.25,-3.81,1.5
0.2,0.09,0.02,3.12,-6.25,2.5
0.12,0.02,0.02,4.62,-8.25,3.19
0.01,0.0,0.02,5.56,-9.5,3.75
-0.08,-0.02,-0.03,6.0,-9.44,3.69
-0.14,-0.1,-0.04,5.75,-8.19,3.25
-0.16,-0.12,-0.06,4.94,-6.62,2.31
-0.21,-0.1,-0.06,3.69,-4.94,1.44
-0.3,-0.08,-0.04,2.12,-2.62,0.62
-0.29,-0.06,-0.09,0.44,0.25,-0.56
-0.26,-0.01,-0.08,-1.31,3.56,-1.94
-0.26,0.05,-0.09,-3.25,6.12,-2.81
-0.14,0.13,-0.04,-4.5,8.69,-3.37
0.0,0.18,0.01,-5.12,10.56,-3.62
0.11,0.2,-0.01,-5.75,11.5,-3.75
0.19,0.24,0.0,-5.81,10.69,-3.31
0.31,0.23,0.01,-5.25,8.81,-2.5
0.31,0.21,0.05,-4.25,6.25,-1.69
0.35,0.18,0.04,-3.12,3.44,-0.94
0.38,0.18,0.04,-1.69,0.44,-0.19
0.28,0.16,0.05,-0.37,-2.62,0.69
0.22,0.11,0.0,1.31,-5.44,1.62
0.18,0.06,0.0,2.56,-7.31,2.56
0.11,0.01,0.02,3.56,-8.06,2.87
-0.05,-0.03,-0.02,3.94,-8.06,3.06
-0.11,-0.03,-0.02,3.87,-7.31,2.87
-0.11,-0.05,0.0,3.87,-6.06,2.25
-0.14,-0.08,-0.02,3.44,-4.69,1.62
-0.18,-0.06,-0.03,2.69,-3.44,1.19
-0.23,-0.05,-0.07,1.62,-1.44,0.13
-0.26,-0.04,-0.04,0.44,0.81,-0.81
-0.23,0.0,-0.07,-1.19,3.31,-1.81
-0.19,0.02,-0.05,-2.56,5.56,-2.56
-0.17,0.07,-0.03,-3.81,7.69,-3.12
-0.07,0.09,0.01,-4.62,9.63,-3.25
0.16,0.18,0.03,-5.31,10.31,-3.5
0.26,0.19,0.03,-5.62,10.25,-3.37
0.27,0.2,0.03,-5.37,8.56,-3.0
0.31,0.24,0.05,-4.56,6.12,-2.12
