Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.11,0.15,0.09,-1.25,-0.94,-1.44
0.08,0.18,0.06,-1.25,-0.94,-1.44
0.04,0.2,0.06,-1.5,-1.0,-1.31
0.08,0.15,0.09,-1.56,-0.75,-1.31
0.07,0.14,0.06,-1.5,-0.31,-1.5
0.09,0.17,0.12,-1.19,-0.5,-1.56
0.14,0.2,0.11,-1.44,-0.5,-1.37
0.14,0.17,0.12,-1.44,-0.5,-1.06
0.12,0.12,0.13,-1.19,-0.75,-1.31
0.07,0.18,0.1,-1.12,-0.88,-1.12
0.06,0.19,0.12,-1.5,-0.69,-1.06
0.09,0.14,0.15,-1.5,-0.69,-0.94
0.07,0.15,0.12,-1.5,-0.69,-0.88
0.06,0.22,0.13,-1.5,-1.44,-0.56
0.06,0.17,0.08,-1.69,-1.56,-0.44
0.11,0.13,0.09,-1.31,-1.12,-0.44
0.07,0.19,0.06,-1.12,-1.0,-0.56
0.07,0.2,0.14,-1.25,-1.0,-0.31
0.15,0.17,0.1,-1.25,-0.5,-0.44
0.15,0.13,0.12,-1.0,-0.81,-0.44
0.06,0.2,0.1,-0.94,-1.0,-0.5
0.11,0.19,0.14,-1.12,-0.44,-0.37
0.15,0.17,0.11,-1.19,0.31,-0.25
0.03,0.17,0.04,-0.75,0.0,-0.31
0.06,0.17,0.04,-0.5,-0.06,-0.13
0.04,0.2,0.03,-0.69,0.5,0.0
0.1,0.15,0.03,-0.44,0.69,0.0
0.08,0.15,0.04,-0.13,0.69,0.19
0.06,0.18,0.03,0.0,0.44,0.25
0.05,0.18,0.04,0.25,0.56,0.37
0.02,0.11,0.04,0.31,0.81,0.31
0.02,0.17,0.1,0.44,1.06,0.31
0.02,0.16,0.08,0.06,1.44,0.69
0.04,0.14,0.09,-0.06,1.06,0.69
0.01,0.13,0.05,0.37,0.75,0.5
0.01,0.17,0.08,0.5,0.56,0.5
0.02,0.18,0.04,0.31,1.0,0.56
0.01,0.14,0.09,0.44,1.0,0.94
-0.01,0.13,0.08,0.88,0.56,0.62
0.0,0.13,0.11,0.88,0.81,0.44
0.01,0.14,0.12,0.69,1.25,0.56
0.03,0.15,0.12,0.5,0.94,0.62
-0.03,0.13,0.09,0.88,0.62,0.37
-0.06,0.16,0.1,0.75,0.56,0.37
-0.01,0.16,0.12,0.56,0.44,0.5
-0.04,0.12,0.11,0.94,0.31,0.56
-0.06,0.15,0.1,1.06,0.25,0.25
-0.03,0.18,0.11,0.69,0.62,0.13
0.02,0.17,0.15,0.44,0.62,0.31
-0.02,0.1,0.08,0.56,0.0,0.31
-0.02,0.15,0.12,1.0,-0.88,0.13
0.01,0.16,0.1,0.69,-0.81,0.25
-0.02,0.14,0.11,0.75,-0.94,0.44
0.0,0.12,0.12,1.0,-0.56,0.31
0.01,0.16,0.13,0.81,-0.37,0.19
0.01,0.15,0.17,0.37,0.0,0.25
0.0,0.14,0.09,0.37,-0.19,0.31
0.0,0.14,0.11,0.56,-0.31,0.13
0.01,0.17,0.07,0.37,-0.19,0.19
0.02,0.17,0.11,0.13,-0.25,0.25
0.05,0.14,0.13,0.37,-0.44,0.19
0.0,0.13,0.13,0.75,-0.5,-0.13
0.0,0.18,0.16,0.56,-0.19,0.0
0.03,0.16,0.18,0.44,0.31,-0.13
0.03,0.14,0.16,0.37,0.44,-0.06
-0.02,0.17,0.13,0.13,0.31,0.0
0.0,0.18,0.13,0.06,0.37,0.31
-0.02,0.14,0.13,0.0,0.44,0.0
-0.01,0.11,0.15,0.25,0.44,-0.19
0.0,0.14,0.18,0.0,0.37,-0.37
0.0,0.14,0.15,-0.81,0.19,-0.25
0.0,0.12,0.19,-0.94,0.25,-0.31
0.0,0.13,0.2,-1.06,0.06,-0.62
-0.03,0.17,0.17,-1.06,-0.06,-0.56
-0.05,0.16,0.13,-1.19,-0.19,-0.37
-0.04,0.09,0.12,-1.06,0.0,-0.69
-0.05,0.14,0.14,-1.06,-0.06,-0.62
-0.01,0.19,0.13,-1.25,-0.06,-0.37
0.05,0.17,0.11,-1.44,-0.5,-0.25
0.01,0.13,0.1,-0.94,-1.25,-0.44
0.0,0.16,0.13,-0.75,-1.69,-0.62
0.02,0.18,0.1,-0.81,-1.12,-0.44
0.03,0.17,0.09,-1.06,-0.5,-0.44
0.02,0.12,0.04,-0.69,-0.37,-0.75
0.01,0.18,0.04,-0.5,-0.44,-0.62
0.03,0.17,0.03,-0.56,-0.56,-0.56
0.01,0.14,0.06,-0.19,-0.62,-0.69
0.0,0.1,0.11,0.13,-0.56,-0.81
0.0,0.14,0.11,-0.06,-0.13,-0.88
0.0,0.16,0.13,-0.5,-0.19,-0.37
0.04,0.1,0.15,-0.5,-0.44,-0.62
0.0,0.14,0.15,-0.31,-0.81,-0.69
-0.05,0.19,0.13,-0.56,-1.37,-0.44
-0.06,0.17,0.12,-0.5,-1.12,-0.25
-0.01,0.13,0.07,-0.56,-0.62,-0.75
0.0,0.16,0.07,-0.62,-0.81,-0.69
0.01,0.17,0.09,-0.81,-1.44,-0.44
0.05,0.15,0.09,-0.69,-1.81,-0.31
0.01,0.15,0.07,-0.37,-2.12,-0.5
0.0,0.15,0.1,-0.5,-2.19,-0.44
-0.02,0.18,0.1,-0.81,-1.81,-0.37
