Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.73,0.98,-0.12,26.5,-15.94,61.5
2.48,0.84,-0.18,25.37,-14.0,61.69
2.69,0.88,-0.09,24.69,-13.13,62.25
2.9,0.82,-0.11,24.31,-15.63,62.69
3.15,0.73,-0.03,24.56,-19.37,62.63
3.46,0.58,-0.18,25.31,-23.12,62.5
3.64,0.62,-0.05,25.69,-24.94,60.75
3.93,0.72,0.18,26.69,-26.75,58.88
3.93,0.72,0.18,27.81,-24.94,55.69
4.43,0.82,0.35,28.12,-22.44,52.63
4.44,0.95,0.32,29.0,-20.44,49.13
4.45,1.03,0.33,31.81,-19.75,44.81
4.79,0.4,0.33,35.63,-21.44,37.69
4.79,0.4,0.33,40.19,-27.56,28.5
4.87,-0.91,0.2,46.44,-38.06,20.31
4.87,-0.91,0.2,51.88,-49.31,12.06
4.63,-1.81,0.28,57.44,-54.69,1.69
4.38,-3.81,0.67,60.88,-56.88,-9.25
4.01,-4.41,0.95,61.81,-59.44,-18.81
3.93,-5.25,1.03,54.81,-62.69,-34.5
3.65,-5.84,0.91,45.31,-65.0,-50.06
2.8,-5.3,0.65,36.94,-65.62,-64.69
2.66,-4.33,0.38,29.0,-67.56,-76.25
2.23,-2.95,0.03,29.0,-67.56,-76.25
2.03,-0.62,-1.17,17.12,-67.5,-94.0
1.78,0.51,-1.68,14.81,-64.5,-102.0
1.45,1.61,-2.11,17.19,-59.44,-106.87
1.27,2.35,-2.24,22.44,-54.63,-109.69
1.57,2.73,-2.18,22.44,-54.63,-109.69
1.73,2.35,-2.03,14.88,-59.0,-107.62
2.39,0.98,-2.48,-8.38,-112.19,-111.62
4.05,-0.04,0.12,-18.31,-222.06,-108.06
3.83,0.85,2.39,-13.56,-297.12,-101.81
0.5,1.09,1.17,-5.81,-283.0,-96.5
-2.35,0.95,-0.4,3.25,-218.25,-90.62
-2.88,-0.44,0.25,4.75,-149.37,-82.94
-2.29,-1.3,0.46,-3.12,-101.81,-75.19
-2.42,-1.67,0.36,-14.94,-68.62,-76.37
-2.47,-1.6,0.42,-14.94,-68.62,-76.37
-0.31,-1.76,0.02,-24.0,-45.81,-77.75
1.31,-1.71,0.7,-35.94,-41.69,-100.44
0.75,-1.13,0.89,-32.25,-43.81,-103.31
-0.53,-0.86,0.35,-32.06,-30.56,-105.44
-0.68,-0.98,-0.32,-32.06,-30.56,-105.44
-0.57,-0.84,0.09,-36.06,-16.31,-108.25
-0.79,-0.57,0.38,-38.25,-5.5,-114.0
-1.19,-0.33,0.5,-37.13,0.81,-117.0
-1.61,0.11,0.7,-36.38,6.31,-117.69
-1.89,0.21,0.82,-36.38,6.31,-117.69
-2.16,0.49,0.97,-34.5,10.31,-115.5
-1.83,0.67,1.31,-29.25,17.56,-118.0
-1.9,0.74,1.42,-26.62,17.62,-118.06
-2.08,0.78,1.5,-25.81,19.37,-114.31
-2.2,0.68,1.52,-25.81,19.37,-114.31
-2.23,0.92,1.58,-28.0,23.81,-110.44
-2.09,0.94,1.53,-27.19,31.87,-98.69
-2.05,1.06,1.62,-24.75,30.19,-94.69
-2.13,1.12,1.6,-22.75,26.31,-90.25
-2.47,1.19,1.53,-22.75,26.31,-90.25
-2.62,1.18,1.47,-21.5,23.12,-84.69
-2.6,1.19,1.45,-21.44,20.12,-73.37
-2.52,1.38,1.48,-20.69,21.19,-67.56
-2.4,1.27,1.65,-19.5,20.25,-63.44
-2.31,1.25,1.78,-19.5,20.25,-63.44
-2.38,1.17,1.78,-18.19,16.19,-58.5
-2.55,0.99,1.68,-17.25,12.06,-52.69
-2.62,0.92,1.62,-16.5,8.0,-46.56
-2.65,0.84,1.6,-16.0,4.25,-40.75
-2.69,0.77,1.49,-15.56,1.25,-34.81
-2.71,0.62,1.43,-14.75,-0.5,-28.62
-2.72,0.55,1.45,-13.81,-0.81,-21.25
-2.68,0.51,1.45,-13.0,-0.25,-12.88
-2.69,0.48,1.34,-11.94,0.81,-4.19
-2.74,0.46,1.07,-11.75,3.12,4.44
-2.75,0.6,0.96,-12.69,6.0,12.63
-2.71,0.74,0.85,-13.56,9.38,20.31
-2.75,0.75,0.79,-13.25,12.19,27.31
-2.72,0.76,0.87,-12.56,13.25,34.31
-2.58,0.75,0.91,-12.19,13.19,40.06
-2.48,0.67,0.99,-11.75,12.56,43.63
-2.51,0.33,1.03,-11.44,10.44,46.06
-2.62,-0.01,1.1,-9.5,6.37,49.5
-2.72,-0.46,1.18,-6.31,1.81,54.06
-2.82,-1.08,1.31,-3.81,-2.94,59.63
-3.29,-2.05,1.56,-2.5,-7.12,68.0
-3.35,-2.74,1.75,0.19,-8.0,79.5
-3.44,-3.25,1.87,3.56,-4.56,91.56
-3.39,-4.33,1.76,6.31,2.75,103.69
-3.25,-4.28,1.67,0.5,12.75,110.5
-3.14,-3.71,1.42,-3.87,25.31,116.12
-2.96,-2.85,1.25,-5.5,40.63,120.94
-2.54,-1.18,0.73,-4.12,56.13,123.62
-2.4,-0.31,0.34,-1.31,67.69,125.44
-2.11,0.31,-0.14,2.94,74.87,126.69
-1.88,0.89,-0.46,7.44,78.19,125.94
-1.77,1.66,-1.13,10.63,77.94,125.19
-1.53,1.94,-1.24,14.0,75.81,126.37
-1.15,1.95,-1.24,17.19,72.25,127.62
-0.54,1.45,-1.12,16.12,67.0,124.25
-0.72,1.48,-0.73,15.63,57.81,117.44
-0.94,1.09,-0.42,14.44,49.81,117.37
