Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.34,0.0,0.49,-4.81,7.62,-6.0
-0.34,0.0,0.49,-5.75,10.13,-6.62
-0.24,-0.03,0.51,-6.37,12.56,-7.19
-0.01,-0.03,0.44,-6.87,14.56,-7.62
0.06,0.0,0.35,-7.37,15.75,-7.81
0.2,0.02,0.25,-7.56,15.63,-8.44
0.28,0.02,0.13,-7.37,14.38,-8.25
0.36,0.03,-0.04,-6.62,13.38,-7.75
0.4,0.04,-0.07,-6.31,12.44,-6.69
0.49,0.05,-0.17,-5.94,11.75,-5.94
0.51,0.06,-0.21,-5.25,10.44,-5.37
0.59,0.12,-0.26,-4.62,8.94,-4.56
0.62,0.12,-0.3,-3.69,7.62,-3.94
0.6,0.12,-0.32,-3.19,5.69,-3.37
0.59,0.13,-0.36,-2.94,3.31,-2.37
0.55,0.18,-0.31,-2.0,1.5,-1.75
0.48,0.17,-0.29,-1.31,-0.25,-1.56
0.4,0.14,-0.25,-0.75,-1.37,-1.0
0.27,0.13,-0.22,-0.75,-1.37,-1.0
0.19,0.12,-0.18,-0.25,-1.87,-0.88
0.11,0.1,-0.1,0.06,-2.75,-0.5
0.05,0.08,-0.08,-0.19,-2.5,-0.06
-0.01,0.03,0.0,-0.62,-1.5,0.31
-0.06,0.02,0.09,-1.06,0.0,0.75
-0.11,0.01,0.15,-2.06,1.5,0.94
-0.18,-0.03,0.27,-2.94,3.06,1.37
-0.15,-0.02,0.33,-3.69,4.37,1.44
-0.14,-0.05,0.31,-5.0,6.12,1.94
-0.16,-0.08,0.28,-5.0,6.12,1.94
-0.19,-0.07,0.05,-6.5,9.56,3.12
0.01,0.01,0.01,-7.5,17.87,3.87
0.33,0.04,-0.04,-5.81,18.25,3.75
0.61,0.01,-0.22,-3.31,15.38,2.87
0.78,0.04,-0.37,-3.31,15.38,2.87
0.85,0.04,-0.36,-1.69,11.5,1.87
0.85,0.07,-0.25,0.37,4.31,3.06
0.91,0.13,-0.21,2.0,1.37,3.87
0.85,0.17,-0.12,3.56,-0.44,5.12
0.87,0.14,-0.13,3.56,-0.44,5.12
0.86,0.17,-0.12,4.69,-2.0,6.31
0.82,0.14,-0.18,6.94,-7.87,8.0
0.78,0.12,-0.2,7.69,-12.75,8.81
0.69,0.12,-0.25,8.25,-18.37,9.38
0.56,0.09,-0.32,8.25,-18.37,9.38
0.14,0.05,-0.32,8.88,-23.37,9.06
0.0,0.05,-0.29,9.38,-27.44,9.13
-0.14,0.06,-0.27,9.88,-26.81,9.13
-0.21,0.05,-0.2,9.88,-26.81,9.13
-0.33,0.01,-0.06,10.69,-25.0,8.69
-0.32,0.03,0.01,11.19,-22.56,8.13
-0.29,0.03,0.13,11.38,-20.37,7.94
-0.21,0.01,0.26,11.44,-18.12,7.62
-0.16,0.01,0.28,11.38,-16.0,7.37
-0.14,-0.01,0.3,11.19,-13.44,7.12
-0.07,-0.05,0.34,10.19,-11.44,7.12
-0.1,-0.02,0.36,8.88,-10.38,7.37
-0.13,-0.02,0.36,8.38,-8.88,7.44
-0.13,-0.04,0.39,7.44,-7.56,7.75
-0.15,-0.04,0.4,6.62,-6.56,7.5
-0.18,-0.02,0.43,6.12,-5.0,7.44
-0.17,-0.04,0.35,5.69,-3.81,7.44
-0.18,0.0,0.31,5.25,-2.25,7.31
-0.08,-0.02,0.3,6.0,0.44,6.87
0.01,-0.07,0.12,5.75,3.75,6.81
0.09,-0.01,0.1,4.62,5.94,6.31
0.14,0.01,0.05,3.81,6.56,6.37
0.16,0.04,0.0,3.62,5.31,6.0
0.14,0.03,0.0,3.5,3.12,5.5
0.1,0.06,-0.02,3.5,1.75,5.5
0.11,0.06,-0.02,3.56,1.44,5.62
0.1,0.04,-0.1,3.62,1.37,5.87
0.08,0.05,-0.16,4.0,1.5,5.94
0.11,0.03,-0.16,4.0,1.81,5.81
0.14,-0.02,-0.15,3.94,2.06,6.19
0.16,0.04,-0.1,4.12,1.94,6.06
0.21,0.03,-0.1,4.12,1.19,6.06
0.23,0.03,-0.06,4.06,-0.37,6.25
0.07,0.07,0.0,4.06,-2.0,6.19
0.03,0.06,0.01,4.31,-3.12,6.0
-0.02,0.04,0.05,4.56,-3.37,6.12
0.0,0.04,0.1,4.5,-2.12,6.31
-0.02,0.03,0.05,4.56,-1.12,6.69
0.0,0.02,0.06,4.62,-0.62,6.5
0.04,0.03,0.07,4.75,-0.88,6.12
0.03,0.0,0.05,4.62,-1.19,5.94
0.0,0.0,0.09,4.44,-1.19,5.69
0.01,0.0,0.05,4.12,-0.5,5.44
-0.01,0.04,0.08,3.87,0.06,5.19
-0.02,0.04,0.08,3.5,0.44,4.75
0.0,0.02,0.09,3.56,-0.5,4.12
-0.02,0.01,0.07,3.62,-0.94,3.81
0.0,0.02,0.09,3.62,-1.0,3.81
-0.02,0.03,0.05,3.44,-1.19,3.87
-0.01,0.03,0.11,3.75,-0.94,3.56
-0.03,0.01,0.11,4.25,-0.56,3.37
-0.03,0.0,0.1,4.37,0.13,3.25
0.09,-0.03,0.0,4.37,0.88,4.06
0.08,0.05,0.03,3.81,1.44,4.19
0.05,0.09,0.0,3.87,1.44,4.0
0.07,0.08,0.03,4.31,1.37,3.62
0.09,0.02,0.01,4.69,0.94,3.75
