Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747623754.724352,322.75,25.56,143.87,3.64,-3.39,-6.67,8.69,19.19,-53.0
1747623754.727242,229.0,31.62,143.25,4.69,-3.51,-6.62,34.25,41.19,-58.25
1747623754.7284126,231.12,36.13,141.87,5.76,-4.29,-6.1,33.38,-12.5,-48.31
1747623754.7304142,227.56,36.06,144.25,5.91,-3.64,-5.76,19.62,-47.25,-46.94
1747623754.7329502,221.56,35.19,146.94,6.45,-2.49,-6.25,36.69,-65.62,-59.63
1747623754.7339468,286.94,34.31,148.94,7.77,-0.26,-6.79,52.19,-57.75,-91.37
1747623754.7354572,270.31,32.31,150.19,7.82,0.02,-6.38,106.19,-111.31,-128.31
1747623754.7380042,251.56,28.81,149.87,8.98,-5.07,-6.49,96.94,-140.25,-130.25
1747623754.7400022,234.37,23.37,156.0,3.82,-6.96,-5.56,-17.81,-82.5,-122.25
1747623754.7440026,225.25,21.56,164.19,-0.18,-2.87,-4.29,-33.63,-14.63,-54.19
1747623754.745515,222.19,27.5,159.87,5.03,1.37,-9.63,70.94,79.19,-4.87
1747623754.7476442,220.25,28.06,155.81,5.52,0.11,-7.59,5.94,-12.13,9.5
1747623754.7497988,221.87,27.37,155.56,5.23,-1.21,-7.95,4.5,-0.13,25.44
1747623754.7523081,223.5,26.06,154.44,5.27,-1.44,-8.43,3.37,-4.19,13.81
1747623754.7543204,340.62,26.0,154.81,5.06,-0.68,-7.92,1.06,-3.75,1.44
1747623754.7563603,339.56,25.94,156.37,4.71,-0.98,-8.11,2.31,-8.56,-3.62
1747623754.7583733,338.12,26.62,160.75,4.5,-1.02,-7.9,-1.19,-1.25,-1.94
1747623754.761372,337.81,27.69,163.94,4.5,-0.88,-8.07,2.31,5.06,-0.69
1747623754.763375,337.69,28.37,166.62,4.7,-0.81,-8.07,0.0,-2.19,0.31
1747623754.7643716,338.0,28.62,168.5,4.6,-0.86,-8.11,1.31,-2.87,-1.31
1747623754.7674463,338.69,28.81,169.5,4.63,-0.95,-8.09,0.75,-1.62,-0.13
1747623754.7691863,338.94,28.94,170.25,4.62,-0.9,-8.05,0.13,-0.37,-0.25
1747623754.7711866,339.81,29.06,170.75,4.59,-0.88,-8.06,0.25,0.88,-0.75
1747623754.772187,340.56,29.25,170.94,4.9,-0.97,-8.47,0.44,0.94,-0.69
1747623754.7747118,340.69,29.37,171.25,4.85,-0.88,-8.37,-0.31,-0.44,0.37
1747623754.777083,340.69,29.56,171.5,4.83,-0.99,-8.41,-0.69,2.06,-0.31
1747623754.7780986,340.75,29.69,171.69,4.89,-1.0,-8.47,-1.12,0.31,2.0
1747623754.7801008,341.37,29.69,171.87,4.87,-0.92,-8.33,-1.0,0.37,2.19
1747623754.7830954,341.56,29.75,172.0,4.86,-0.96,-8.42,-0.75,0.5,1.75
1747623754.784096,341.75,29.81,172.06,4.84,-0.94,-8.4,-0.37,1.75,1.5
1747623754.7866256,341.87,30.0,172.06,4.89,-0.99,-8.43,-0.88,1.19,1.62
1747623754.7887094,342.06,30.12,172.12,4.92,-0.99,-8.35,-1.12,1.62,1.56
