Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.52,0.49,-0.91,-15.13,-1.81,-6.12
-0.52,0.46,-0.94,-13.13,-3.56,-6.06
-0.5,0.42,-1.06,-11.69,-5.19,-5.56
-0.34,0.42,-1.1,-10.75,-6.0,-5.56
-0.29,0.38,-1.08,-10.31,-6.5,-5.44
-0.24,0.38,-1.09,-10.06,-7.5,-5.75
-0.13,0.39,-1.05,-9.5,-7.37,-6.06
-0.13,0.48,-0.96,-8.81,-7.06,-6.75
-0.04,0.51,-0.88,-8.13,-6.0,-7.31
0.02,0.5,-0.72,-7.19,-5.12,-8.06
-0.02,0.62,-0.69,-6.5,-4.25,-9.0
0.03,0.71,-0.69,-5.87,-3.31,-9.75
0.17,0.82,-0.69,-5.12,-1.69,-10.63
0.23,0.89,-0.73,-4.31,-0.37,-11.63
0.35,0.97,-0.69,-3.44,1.19,-12.94
0.52,0.99,-0.58,-2.94,3.0,-14.31
0.58,1.0,-0.45,-2.5,4.37,-15.31
0.79,0.95,-0.34,-1.75,5.81,-16.19
0.88,0.85,-0.17,-1.0,6.81,-17.94
0.88,0.83,-0.22,0.0,7.62,-20.19
0.79,0.79,-0.32,1.19,8.88,-23.12
0.73,0.8,-0.37,2.56,11.0,-26.37
0.44,0.82,-0.51,4.0,12.88,-29.81
0.66,0.33,-0.68,4.87,14.56,-32.75
0.09,1.6,-0.15,4.25,17.94,-37.0
0.96,0.95,0.47,11.88,22.37,-33.81
1.56,1.11,1.03,5.94,26.25,-31.62
2.16,1.17,1.49,-0.69,27.62,-26.12
2.79,1.0,1.98,-2.56,27.25,-19.62
3.47,0.01,2.43,-1.94,25.44,-14.31
3.46,-0.53,2.38,-1.31,21.94,-8.5
3.27,-0.93,2.27,-1.94,19.56,-6.25
2.94,-1.18,1.91,-1.5,17.94,-6.0
1.39,-1.45,0.52,0.88,14.06,-6.62
0.45,-1.52,-0.16,3.62,9.38,-7.0
-0.4,-1.46,-0.57,5.06,8.88,-8.0
-1.43,-0.97,-0.73,6.06,13.75,-9.25
-1.3,-0.62,-0.5,7.81,20.69,-10.25
-1.11,-0.41,-0.17,10.19,25.69,-10.25
-1.0,-0.26,0.27,13.31,25.5,-7.87
-0.4,-0.09,1.12,16.31,23.19,-4.44
-0.33,-0.07,1.52,19.62,19.0,-1.44
-0.31,-0.13,1.67,22.81,12.63,2.12
-0.38,-0.31,1.56,25.5,6.75,5.62
-0.64,-0.64,1.27,26.44,1.56,8.94
-0.91,-0.81,1.19,27.12,-3.37,11.56
-0.86,-1.07,1.18,27.56,-2.94,14.88
-0.65,-1.21,1.32,25.62,-0.06,17.81
-0.25,-1.59,1.32,24.19,-0.31,20.37
-0.21,-1.74,1.28,22.87,-3.44,21.94
-0.18,-1.8,1.25,21.94,-7.19,22.94
-0.41,-1.76,1.12,21.5,-8.81,23.56
-0.63,-1.69,1.08,21.25,-8.13,24.5
-0.74,-1.66,1.08,20.81,-4.62,24.94
-0.78,-1.59,0.97,19.81,1.31,25.31
-0.75,-1.35,0.81,18.56,7.62,24.75
-0.79,-1.16,0.81,17.75,11.56,23.69
-0.81,-1.02,0.72,17.37,13.56,22.37
-0.83,-0.86,0.64,17.06,14.0,21.25
-0.94,-0.63,0.48,16.56,13.69,20.06
-0.97,-0.47,0.48,15.56,13.0,19.5
-0.96,-0.31,0.41,14.5,11.88,18.94
-0.97,-0.2,0.32,14.38,10.5,18.37
-1.04,-0.17,0.22,14.31,9.31,17.37
-1.09,-0.15,0.21,14.63,8.63,16.56
-1.08,-0.14,0.26,14.88,9.06,15.69
-1.0,-0.14,0.22,14.75,8.94,14.88
-0.92,-0.13,0.21,14.31,8.25,13.5
-0.89,-0.11,0.12,13.69,7.56,11.94
-0.81,-0.06,0.11,12.44,6.5,10.56
-0.6,0.14,0.32,11.25,6.25,9.5
-0.47,0.25,0.38,9.88,7.31,8.81
-0.32,0.29,0.46,9.13,8.38,8.69
-0.13,0.35,0.55,8.88,8.63,8.31
0.1,0.36,0.58,8.75,8.94,8.19
0.32,0.34,0.6,8.75,8.56,8.19
0.49,0.37,0.62,8.63,8.0,8.13
1.02,0.34,0.61,8.44,6.56,8.38
1.22,0.35,0.63,7.94,5.12,8.56
1.37,0.31,0.62,7.31,2.0,9.25
1.43,0.25,0.62,6.87,-1.37,9.81
1.21,0.28,0.69,6.25,-3.19,10.25
1.79,-0.26,0.35,4.75,-3.87,9.81
0.77,1.08,0.5,1.62,-3.06,6.44
1.47,0.35,0.19,9.56,-3.37,10.63
1.31,0.67,0.02,4.37,-4.69,8.44
1.32,0.81,-0.01,3.44,-7.44,7.0
1.15,0.48,-0.14,9.5,-10.69,7.06
0.58,0.43,0.11,8.13,-12.56,6.0
0.48,0.43,0.24,4.19,-10.25,7.37
0.39,0.15,0.47,3.12,-1.62,9.31
0.23,-0.03,0.61,0.5,11.81,10.44
0.93,-0.51,1.52,-3.19,29.12,12.88
1.73,-0.79,2.2,-6.69,47.44,17.12
2.41,-1.0,2.58,-9.75,58.88,19.62
3.08,-1.24,2.72,-10.44,59.38,23.19
3.33,-1.98,2.19,-10.13,51.19,25.37
3.13,-2.3,1.54,-10.31,39.0,24.44
2.73,-2.45,0.75,-12.5,26.31,21.0
2.13,-2.4,-0.03,-15.56,14.94,14.25
0.84,-2.13,-1.28,-17.56,5.5,6.81
