Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747642727.8648374,23.44,39.5,42.75,4.4,-5.21,6.63,17.31,111.5,71.25
1747642727.867254,21.87,26.94,43.06,3.17,-5.62,7.68,-28.56,141.19,54.38
1747642727.869257,21.06,16.31,44.31,2.58,-5.36,7.31,-25.87,26.62,59.44
1747642727.870261,14.44,11.25,47.25,2.62,-3.53,6.79,-6.19,2.0,53.5
1747642727.8722587,11.31,10.06,47.5,0.79,-3.21,5.72,-1.75,10.75,7.19
1747642727.8732607,10.88,8.38,46.06,-3.27,-4.17,7.71,22.56,-11.25,26.56
1747642727.875777,9.25,6.75,41.88,0.45,-6.82,4.77,1.81,69.37,-19.19
1747642727.8769913,11.31,3.06,41.63,0.17,-5.35,4.21,-7.37,15.56,9.94
1747642727.8785033,11.56,1.81,42.69,-2.64,-5.52,7.61,-7.75,15.69,-6.31
1747642727.8815129,13.69,1.94,43.38,-1.36,-5.28,6.23,-6.56,20.25,-24.31
1747642727.8835137,16.12,-0.5,42.88,-1.28,-5.38,6.16,-2.19,11.81,-25.25
1747642727.8882854,18.5,-0.88,42.88,-0.88,-5.43,6.25,0.31,5.25,-15.19
1747642727.8902981,18.69,-1.81,42.13,-1.01,-5.37,6.51,2.06,0.94,0.44
1747642727.8922973,18.0,-3.5,41.31,-1.15,-5.39,6.53,3.44,2.06,3.06
1747642727.8969228,17.44,-4.69,40.5,-1.2,-5.32,6.64,3.94,1.37,0.69
1747642727.9004655,17.12,-5.37,39.94,-1.03,-5.39,6.33,4.25,-2.19,3.0
1747642727.9055243,16.69,-5.81,39.56,-1.1,-5.35,6.53,2.5,-1.75,2.94
1747642727.9083571,16.31,-6.12,39.31,-1.15,-5.36,6.54,1.06,-2.37,2.19
1747642727.9103596,15.94,-6.25,39.13,-1.42,-5.3,6.84,-0.37,-2.94,1.12
1747642727.9133584,15.56,-6.31,39.06,-1.29,-5.2,6.89,-0.06,-3.12,2.56
1747642727.9158833,15.19,-6.12,39.06,-1.6,-6.23,7.88,-1.44,-0.69,1.81
1747642727.9184768,14.94,-6.12,39.13,-1.24,-6.15,7.3,-0.81,-0.37,1.75
1747642727.9204915,14.63,-6.19,39.13,-1.43,-6.22,7.46,0.0,-2.31,1.44
1747642727.9224887,14.5,-6.37,39.13,-1.34,-6.13,7.52,-0.13,-0.94,-0.94
1747642727.9250002,14.44,-6.37,39.13,-1.3,-6.13,7.48,-0.19,-1.81,-0.5
1747642727.9282637,14.38,-6.31,39.13,-1.35,-6.2,7.48,-0.94,-2.31,0.56
1747642727.9302773,14.19,-6.31,39.25,-1.38,-6.22,7.54,-1.62,-1.37,0.56
1747642727.931278,14.0,-6.37,39.38,-1.24,-6.19,7.55,-0.88,-2.19,0.69
1747642727.933272,13.75,-6.37,39.38,-1.3,-6.16,7.46,-0.69,-1.94,1.25
1747642727.9347818,13.56,-6.44,39.38,-1.3,-6.15,7.68,-0.31,-0.81,0.94
