Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747642861.1497662,105.37,24.5,142.37,4.2,-5.93,-6.16,-5.94,14.75,0.94
1747642861.152768,3.31,26.25,141.31,4.16,-5.54,-6.09,3.87,39.69,9.63
1747642861.154764,13.0,30.69,136.62,4.72,-5.49,-5.19,14.44,107.44,32.44
1747642861.1710088,23.37,36.13,123.81,5.59,-6.52,-3.88,42.88,120.94,56.81
1747642861.1996317,21.75,34.19,113.5,4.91,-7.19,-3.46,35.19,74.06,66.87
1747642861.2363882,19.62,29.81,106.25,5.23,-7.84,-3.68,23.87,50.94,64.56
1747642861.2429614,17.12,26.06,103.06,4.45,-7.77,-3.69,7.94,7.87,29.5
1747642861.2455463,24.0,26.19,98.81,5.34,-8.16,-2.35,-9.88,121.5,4.69
1747642861.2485604,27.06,26.12,98.87,3.74,-7.21,-2.17,-3.31,-20.81,1.94
1747642861.2505596,23.5,24.94,100.44,3.54,-7.75,-2.22,1.31,-23.19,12.0
1747642861.2540839,20.56,23.31,101.81,3.27,-8.09,-2.31,0.31,-10.06,6.56
1747642861.2573566,18.5,22.44,103.25,3.0,-7.8,-2.39,3.94,-13.13,-3.87
1747642861.2603693,16.44,22.19,103.81,2.78,-8.37,-2.07,8.75,-18.19,-5.44
1747642861.2639055,15.25,22.44,103.62,2.55,-7.49,-1.83,12.31,-10.25,-9.38
1747642861.2667344,14.25,22.87,102.12,2.66,-8.07,-1.2,17.25,1.12,-1.06
1747642861.2687616,12.25,22.0,99.87,2.95,-8.67,-0.74,17.06,-7.25,12.06
1747642861.273991,8.38,19.81,98.44,2.7,-8.2,-0.72,-3.69,-4.87,11.94
1747642861.2771037,10.19,20.19,98.06,3.16,-8.82,-0.72,1.62,13.19,-7.94
1747642861.287436,11.5,20.44,98.69,3.04,-7.36,-1.06,-7.06,24.19,1.94
1747642861.294029,10.88,19.81,98.19,3.05,-8.62,-1.39,1.19,-18.56,12.63
1747642861.2982216,8.38,18.69,98.87,2.69,-8.05,-1.85,1.0,-23.87,0.75
1747642861.300224,7.25,18.75,99.81,2.42,-8.18,-1.31,-9.44,4.94,-7.81
1747642861.3059394,8.56,19.44,99.94,2.58,-8.08,-1.21,-0.69,-1.44,-1.44
1747642861.3130338,8.13,19.19,99.56,2.69,-8.35,-1.56,3.94,3.37,0.37
1747642861.324114,9.0,19.31,99.44,3.01,-8.19,-1.52,-2.06,3.69,-0.44
1747642861.3266416,9.0,19.25,99.69,2.89,-8.16,-1.26,-1.87,1.31,-0.94
1747642861.3294232,9.44,19.5,99.56,2.65,-8.18,-1.29,1.25,3.0,-1.81
1747642861.334961,9.81,19.5,99.25,2.77,-8.13,-1.46,1.12,3.69,-0.31
1747642861.3400228,10.06,19.31,99.25,3.18,-9.29,-0.61,-4.94,3.37,3.0
1747642861.3440204,9.5,18.87,98.62,2.98,-9.07,-0.71,-2.37,-2.37,3.19
1747642861.3465507,8.75,18.19,98.06,2.85,-9.28,-0.7,-4.37,0.0,3.37
1747642861.351161,9.0,17.94,97.81,2.64,-9.06,-1.14,-0.25,12.63,-3.44
1747642861.370168,9.38,17.94,97.94,2.92,-9.17,-0.76,-1.12,-6.5,1.69
1747642861.4702525,8.25,17.5,97.69,2.66,-9.18,-0.89,-0.19,-4.12,0.88
1747642861.574025,8.31,17.31,97.31,2.77,-9.09,-0.86,-1.37,6.31,-0.13
1747642861.677091,8.38,17.37,96.94,2.89,-9.2,-0.81,4.44,-2.56,-0.88
1747642861.7790308,7.94,17.44,96.5,2.82,-9.2,-0.81,2.69,-5.06,-1.0
1747642861.881908,7.25,17.37,96.19,2.88,-9.11,-0.59,1.5,-8.0,0.88
1747642861.9848175,5.37,17.0,97.44,7.62,-9.94,-1.84,-25.12,-43.0,-2.62
1747642862.0886214,21.69,32.06,104.0,16.33,-9.12,-6.28,-56.69,-42.19,-244.0
1747642862.1991446,52.94,56.5,118.5,5.47,-10.93,-0.32,-27.37,87.94,-225.12
1747642862.3031178,73.06,73.56,109.75,4.81,-7.63,0.12,10.69,38.56,-74.25
1747642862.4057999,79.5,82.0,102.12,3.97,-4.23,-0.15,30.94,48.63,-63.75
1747642862.5108721,79.25,79.44,38.5,-15.0,-4.83,-2.81,10.69,105.06,136.69
1747642862.6157715,63.06,60.25,74.19,37.0,-4.83,6.14,-64.31,-3.75,140.12
1747642862.7185507,70.12,71.5,66.87,6.93,-12.22,1.55,140.06,-134.25,-225.25
1747642862.8239887,76.62,80.81,69.87,-17.6,-7.14,-0.54,4.62,29.31,91.19
1747642862.927584,62.5,60.63,75.81,38.26,-3.21,4.29,-65.87,57.63,173.0
1747642863.0311005,69.44,69.44,73.5,20.7,-8.23,3.27,58.88,-22.12,-296.5
1747642863.1329563,79.12,82.87,73.56,-23.62,-7.97,0.14,10.63,-4.56,38.31
1747642863.2366598,67.5,67.12,72.19,33.88,-2.88,4.39,-36.88,84.0,156.69
1747642863.3399477,71.69,72.62,75.69,14.15,-5.34,2.39,42.81,-67.37,-214.56
1747642863.4421887,79.19,84.25,5.56,-19.03,-5.83,-1.26,-11.31,-18.5,15.88
1747642863.5455077,66.87,69.69,82.69,28.69,-7.53,1.95,-40.56,9.06,177.0
1747642863.6496584,62.69,70.37,78.37,22.25,-6.41,2.86,57.0,23.62,-190.5
1747642863.7519982,74.0,85.37,3.94,-19.4,-5.77,0.0,-2.69,-68.75,-32.25
1747642863.856967,65.31,76.06,93.0,20.6,-5.5,-1.74,-49.75,13.69,185.31
1747642863.9608517,60.19,66.81,95.5,29.42,-2.43,0.16,-7.94,2.19,-89.31
1747642864.0641065,75.87,84.31,174.56,4.32,-5.86,1.55,23.94,-22.19,-201.37
1747642864.1695848,88.44,78.31,-110.62,-0.46,-3.45,0.49,51.31,-41.13,-115.12
1747642864.280879,86.12,76.0,-120.69,0.61,-1.64,1.07,20.75,50.44,70.44
1747642864.3830671,67.37,86.31,176.44,10.58,-4.17,-2.78,5.75,23.5,233.62
1747642864.4865174,38.38,59.38,108.25,10.69,-8.47,-2.96,4.5,-151.94,270.19
1747642864.5895865,5.94,33.13,104.75,10.26,-11.87,-3.2,-50.5,82.12,162.87
1747642864.692177,1.69,19.25,99.37,6.82,-9.62,-0.97,-12.38,155.0,88.87
1747642864.7953913,12.63,15.25,95.44,6.17,-7.74,0.51,-23.0,55.56,39.81
1747642864.9006958,13.0,14.13,93.5,4.35,-9.9,-0.2,16.0,-0.5,-4.37
1747642865.002281,11.56,15.94,92.37,2.21,-10.1,-0.87,-11.19,-9.94,-6.0
1747642865.1048522,9.31,15.81,94.5,2.05,-8.85,0.22,-3.12,-35.88,-3.75
1747642865.2069113,8.38,15.94,94.25,2.3,-9.56,-0.73,9.13,12.13,-2.25
1747642865.3122694,9.81,15.69,94.37,2.49,-9.1,-0.39,-4.31,-5.37,1.75
1747642865.4164214,8.81,15.44,94.56,2.43,-9.1,-0.5,0.62,-8.5,0.69
1747642865.5185924,8.06,15.31,94.5,2.49,-9.17,-0.38,-1.62,-8.5,0.88
1747642865.6249857,7.31,15.19,94.5,2.37,-9.23,-0.52,-0.56,-3.12,0.5
1747642865.7281759,6.75,15.06,94.37,2.36,-9.27,-0.57,2.0,-3.0,-0.62
1747642865.832029,6.25,15.0,94.31,2.32,-9.27,-0.6,2.19,-5.94,-1.0
1747642865.9379213,5.94,14.88,94.25,2.3,-9.28,-0.47,1.31,-4.31,-0.37
1747642866.040921,5.81,14.81,94.12,2.35,-9.29,-0.53,0.37,1.25,0.0
1747642866.143004,5.75,14.75,94.19,2.4,-9.13,-0.53,-0.31,-0.06,0.56
