Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747643037.9314141,4.0,18.62,98.19,2.56,-7.66,-0.92,0.06,-1.81,0.37
1747643038.0356827,3.81,18.56,98.12,2.49,-7.58,-1.05,-0.75,1.37,-0.13
1747643038.1388946,4.25,18.75,98.25,2.58,-7.53,-1.03,-2.5,1.75,-1.25
1747643038.242416,4.25,18.75,98.37,2.5,-7.66,-0.9,-0.5,-2.25,0.37
1747643038.348152,4.12,18.69,98.44,2.6,-7.39,-0.98,0.37,-0.44,-1.37
1747643038.4518237,4.19,18.69,98.37,2.71,-7.56,-1.03,0.75,-0.75,2.44
1747643038.5554545,4.06,18.5,98.31,2.48,-7.86,-1.01,0.81,-0.81,-1.19
1747643038.6600175,4.81,18.87,98.06,2.3,-7.59,-1.02,1.94,2.81,-3.75
1747643038.762968,4.87,18.62,98.06,2.67,-7.51,-1.12,0.0,-0.19,5.87
1747643038.867689,4.06,18.06,98.19,2.72,-7.47,-1.08,0.31,-7.0,4.56
1747643038.9724665,3.62,17.87,98.31,2.73,-8.03,-1.0,-0.31,0.31,-0.69
1747643039.0756037,4.56,18.37,98.31,2.33,-7.39,-0.96,-2.25,4.25,-8.63
1747643039.1781273,5.37,18.81,98.12,2.32,-7.45,-1.0,-1.31,3.37,-0.62
1747643039.2808373,5.12,18.56,98.06,2.61,-7.56,-1.13,-0.06,0.0,4.19
