Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747642949.4073012,345.0,32.75,118.81,4.13,-4.43,-4.09,52.31,151.19,86.0
1747642949.4103026,347.56,27.19,102.25,4.76,-7.51,-1.23,34.38,105.25,103.25
1747642949.4143004,344.12,20.19,98.25,4.25,-8.07,-1.14,-0.31,29.12,63.25
1747642949.4183571,346.37,16.75,96.75,3.76,-7.36,-0.87,-6.44,93.56,20.44
1747642949.4223597,354.5,16.87,94.31,3.77,-7.63,-0.06,0.81,45.38,-2.56
1747642949.4271302,356.62,18.06,93.56,2.66,-7.83,-0.08,4.75,1.0,-20.56
1747642949.4304092,359.69,21.0,92.5,2.49,-7.48,-0.09,9.88,1.69,-30.25
1747642949.4476213,359.56,22.25,92.25,1.93,-7.49,-0.66,5.56,-31.0,-3.31
1747642949.452621,357.25,21.06,92.62,2.5,-7.65,-0.34,0.0,7.06,14.38
1747642949.456746,356.56,19.69,92.31,2.83,-7.56,0.0,-2.06,0.75,10.56
1747642949.4597604,355.5,18.87,92.25,2.71,-7.54,0.0,0.75,-1.94,8.13
1747642949.4642754,355.0,18.56,91.75,2.76,-7.57,0.0,2.94,-2.69,3.44
1747642949.4689412,354.69,18.62,91.37,2.69,-7.55,-0.01,3.19,-3.69,-2.06
1747642949.4719427,353.94,18.94,91.06,2.46,-7.62,-0.02,6.37,-11.44,-1.44
1747642949.4765668,352.25,18.62,91.12,2.05,-7.76,-0.26,1.94,-15.94,1.5
1747642949.4805634,351.19,18.0,91.31,2.31,-7.72,-0.08,-3.0,4.75,0.81
1747642949.4856148,352.19,18.06,91.37,2.48,-7.54,0.0,-3.06,8.5,-2.5
1747642949.489416,353.31,18.31,91.37,2.56,-7.43,-0.05,-3.31,5.62,-1.31
1747642949.4934928,353.56,18.37,91.37,2.58,-7.55,-0.04,-1.12,-0.44,0.37
1747642949.4971185,353.62,18.5,91.44,2.53,-7.59,-0.06,0.0,-0.56,-1.81
