Timestamp,Orientation_X,Orientation_Y,Orientation_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1747624007.1381924,100.62,14.13,148.62,3.07,-4.26,-6.95,-46.5,18.0,28.69
1747624007.140191,106.62,14.38,152.69,2.79,-3.86,-6.61,-56.44,36.5,57.31
1747624007.1421943,115.56,15.94,155.94,2.33,-3.86,-6.99,-57.88,78.56,84.69
1747624007.143191,124.5,19.62,159.31,3.91,-2.71,-9.17,-60.88,21.62,29.31
1747624007.1457016,126.75,18.87,163.37,1.55,-0.73,-8.5,-24.37,-3.0,10.56
1747624007.1476438,128.75,18.87,163.44,1.21,0.16,-7.54,-1.31,19.81,24.75
1747624007.1492395,131.94,20.44,161.62,1.95,-0.95,-9.01,24.69,31.81,34.44
1747624007.1512396,136.37,22.12,156.62,1.68,-1.7,-8.56,25.25,38.25,45.13
1747624007.154241,141.37,23.94,152.0,2.71,-3.42,-8.95,17.56,27.75,53.56
1747624007.1557505,146.31,24.69,149.87,4.14,-5.29,-9.41,-16.19,10.63,20.19
1747624007.1582956,146.31,25.31,154.06,2.73,-2.66,-7.57,-45.31,-15.56,-28.37
1747624007.1602988,145.31,25.69,158.19,1.73,-1.92,-7.81,-26.81,18.62,7.25
1747624007.1612954,150.37,29.0,157.56,2.04,-1.57,-8.27,-11.63,79.0,57.38
1747624007.1642916,100.0,41.56,148.75,4.5,-2.15,-5.62,-2.19,199.5,61.13
1747624007.166346,110.94,53.13,127.0,5.57,-5.44,-2.72,18.0,248.75,74.81
1747624007.168823,118.06,53.38,89.37,6.1,-5.89,0.8,10.38,201.94,79.87
1747624007.1708362,115.69,45.81,77.19,5.78,-6.57,1.31,29.19,31.37,64.44
1747624007.1728373,109.87,37.13,72.81,7.7,-6.36,-1.52,16.37,49.81,79.56
1747624007.1763492,103.94,31.94,73.0,6.61,-6.59,2.34,-15.44,-46.56,26.0
1747624007.1773615,103.19,34.56,79.87,4.93,-6.56,0.15,-32.63,-29.25,-34.44
1747624007.1798801,104.87,38.19,82.37,3.56,-6.37,0.02,9.25,-52.13,-24.75
1747624007.1818886,101.19,39.56,85.44,3.65,-6.65,-0.81,13.81,-30.44,8.88
1747624007.1848845,99.25,38.56,85.5,4.49,-6.56,-0.8,-1.37,-2.12,8.81
1747624007.187254,98.0,37.5,87.31,4.48,-6.44,-0.67,-5.06,-4.87,5.37
1747624007.1904168,96.44,36.25,90.25,4.26,-6.57,-0.72,1.5,-7.06,3.0
1747624007.1934175,94.62,34.88,91.81,4.16,-6.53,-0.72,2.62,1.69,7.31
1747624007.1959257,93.31,33.69,91.87,4.17,-6.63,-0.38,4.31,1.12,8.88
1747624007.197473,92.0,32.81,91.87,4.1,-6.93,-0.46,3.69,-5.94,3.62
1747624007.201,91.37,32.5,92.44,4.08,-6.54,-0.35,-2.87,3.75,-3.81
1747624007.2029998,91.5,32.63,92.56,4.2,-6.58,-0.38,2.5,-6.06,-0.44
1747624007.2112234,90.87,32.31,92.56,4.15,-6.72,-0.62,0.69,5.37,0.75
1747624007.3139503,91.0,32.13,92.56,4.12,-6.56,-0.45,-2.69,4.56,2.0
1747624007.4177387,91.5,31.62,92.62,4.14,-6.67,-0.53,-5.94,13.56,5.5
1747624007.5199316,91.69,31.37,92.87,4.05,-6.68,-0.44,-0.06,0.44,2.37
1747624007.6241858,91.62,31.37,93.0,3.92,-6.9,-0.61,0.62,-0.31,-0.56
1747624007.7288587,91.62,31.25,93.31,3.89,-6.74,-0.59,-2.0,1.19,0.06
1747624007.831229,91.87,31.19,93.5,3.96,-6.74,-0.61,-1.56,4.12,0.06
1747624007.9363456,92.25,31.19,93.62,3.98,-6.72,-0.57,-2.19,1.69,-0.31
1747624008.0404558,92.37,31.06,93.75,4.03,-6.77,-0.58,-1.25,0.94,0.69
1747624008.1432369,92.37,31.0,93.87,3.96,-6.7,-0.54,-0.37,-1.31,0.13
1747624008.251912,92.0,30.87,94.0,4.0,-6.71,-0.62,0.56,-2.56,1.62
